연번,업소명,업태,업소주소
1,(유)아웃백스테이크하우스코리아 반월당점,경양식,대구광역시 중구 달구벌대로 2095(삼성생명 2층 덕산동)
2,(주)돈냉(돈이랑냉이랑),한식,"대구광역시 중구 동성로 70-10(동문동, 지상1층)"
3,(주)미생,회집,대구광역시 중구 재마루길 1-1(남산동)
4,(주)보드게임카페레드버튼동성로,경양식,대구광역시 중구 동성로5길 25(401호 삼덕동1가)
5,(주)아워홈동산의료원장례식장점,한식,대구광역시 중구 달성로 56(동산동)
6,(주)에이더블유파트너스,기타,"대구광역시 중구 국채보상로 511(6층 601,602호 서문로2가)"
7,(주)엠에프지코리아 매드포갈릭 대구현대백화점,경양식,"대구광역시 중구 달구벌대로 2077(계산동2가, 지상8층)"
8,(주)유니온호텔,한식,대구광역시 중구 태평로 117(태평로2가)
9,(주)하우 대구경북대학교병원점,한식,"대구광역시 중구 동덕로 130(삼덕동2가, 경북대학교병원 간이휴게소동 지상2층)"
10,05(영오),호프/통닭,대구광역시 중구 명덕로 101(남산동)
11,1.14km,경양식,대구광역시 중구 북성로 59-1(1층 북성로2가)
12,1943동성로점,식육(숯불구이),대구광역시 중구 동성로4길 38(삼덕동1가)
13,1979교동도나스 경상감영공원점,분식,대구광역시 중구 경상감영길 101(포정동)
14,2046오리엔탈그릴,한식,대구광역시 중구 달구벌대로 2077(현대백화점 지하 1층 계산동2가)
15,25센치,일식,"대구광역시 중구 중앙대로81길 13(동일동, 지상1층)"
16,2블럭,호프/통닭,대구광역시 중구 동성로4길 24(2층 삼덕동1가)
17,302호,한식,대구광역시 중구 교동2길 29-14(가동 2호 교동)
18,45,경양식,"대구광역시 중구 동성로3길 58-16(삼덕동1가, 지상1층)"
19,5(Five),경양식,"대구광역시 중구 중앙대로79길 28(종로2가, 2호지상1층)"
20,60계 남산대봉점,일식,"대구광역시 중구 대봉로 215(대봉동, 지상1층)"
21,60계 대구두류남산점,호프/통닭,대구광역시 중구 남산로7길 41-1(1층 남산동)
22,702실비집,경양식,대구광역시 중구 동성로5길 70(지상1층 삼덕동1가)
23,770철판,한식,대구광역시 중구 달구벌대로 2077(현대백화점 지하1층 계산동2가)
24,79초밥,일식,대구광역시 중구 큰장로26길 52(1층 대신동)
25,79파운야드 대구동성로점,기타,"대구광역시 중구 동성로6길 72(1,2층 공평동)"
26,8!,경양식,대구광역시 중구 동성로1길 29-17(1층 동성로3가)
27,83,기타,대구광역시 중구 북성로 83(1층 북성로1가)
28,85커피,한식,"대구광역시 중구 공평로8길 45(삼덕동2가, 지상1층)"
29,85커피,기타,대구광역시 중구 공평로8길 45(미니우드 2층 삼덕동2가)
30,868,경양식,대구광역시 중구 국채보상로125길 17(2층 공평동)
31,86계성집,한식,대구광역시 중구 중앙대로81길 82(1층 수동)
32,8888,기타,대구광역시 중구 중앙대로 432-21(1층 동성로2가)
33,8번,한식,대구광역시 중구 서성로13길 8(서성로1가)
34,8번식당,한식,"대구광역시 중구 서성로13길 6(서성로1가, 지상1층)"
35,BBQ중구점,호프/통닭,대구광역시 중구 북성로3길 35(수창동)
36,Terrace's 57(테라스 57),경양식,대구광역시 중구 명륜로 57(1층 남산동)
37,eert 대구(이이알티 대구점),경양식,대구광역시 중구 대봉로 233-1(1층 대봉동)
38,ma belle 마벨,경양식,"대구광역시 중구 대봉로 243(대봉동, 지상1층)"
39,가교,중국식,대구광역시 중구 중앙대로77길 9(종로2가)
