위도,경도,구분,시설명,소재지,설치연도,세부시설명,주관부서,기준일자
35.81283464,128.5367433,근린공원 관련 시설,월배공원,대구광역시 달서구 상인동 1421-22,2000,배드민턴장(철거),대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.81283464,128.5367433,근린공원 관련 시설,월배공원,대구광역시 달서구 상인동 1421-22,2000,게이트볼장(철거),대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.81283464,128.5367433,근린공원 관련 시설,월배공원,대구광역시 달서구 상인동 1421-22,2014,철거,대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.83059144,128.5325798,근린공원 관련 시설,월성공원,대구광역시 달서구 월성동 280-1,1992,게이트볼장,대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.83059144,128.5325798,근린공원 관련 시설,월성공원,대구광역시 달서구 월성동 280-1,2014,"온몸노젓기,윗몸일으키기,온몸역기올리기,온몸역기내리기,다리뻗치기,온몸허리돌리기,어깨근육풀기,등허리지압기,온몸근육풀기,하늘걷기,입식자전거",대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.82595902,128.5405395,근린공원 관련 시설,학산공원,대구광역시 달서구 월성동 산1-1,1991,골프연습장,대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.83203237,128.5388984,근린공원 관련 시설,학산공원,대구광역시 달서구 본동 1120,1995,다목적운동장,대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.82595902,128.5405395,근린공원 관련 시설,학산공원,대구광역시 달서구 월성동 산1-1번지 등,2019,"윗몸일으키기,달리기,하체흔들기,허리돌리기,다리근육풀기,공중걷기,온몸근육풀기,좌식바이크운동,등허리지압기,온몸노젓기,체어플,다리뻗치기,터닝트위스트,하늘걷기,스트레칭로라,윗몸일으키기,체어웨이스트,레그스트레치",대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.81798192,128.544591,근린공원 관련 시설,월곡공원,대구광역시 달서구 상인동 1530,1994,게이트볼장,대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.81798192,128.544591,근린공원 관련 시설,월곡공원,대구광역시 달서구 상인동 1530,1994,배드민턴장,대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.81798192,128.544591,근린공원 관련 시설,월곡공원,대구광역시 달서구 상인동 1530,2019,"공중걷기,윗몸일으키기,등허리지압기,앞으로 밀기,하체흔들기,터닝트위스트,트리플 트위스트,풀웨이트,스텝싸이클,워밍암,트윈트위스트,어깨근육풀기,노젓기,다리로 밀기, 오버턴 스트레칭",대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.81277938,128.5489485,근린공원 관련 시설,월촌공원,대구광역시 달서구 상인로 68-4,2006,배드민턴장,대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.81277938,128.5489485,근린공원 관련 시설,월촌공원,대구광역시 달서구 상인로 68-4,2018,"아래로 당기기,앞으로 밀기,등허리펴기,다리로 밀기,공중걷기,물구나무서기,하체흔들기,윗몸일으키기",대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.8062601,128.5435924,근린공원 관련 시설,도원공원,대구광역시 달서구 미리샘길 26,1993,배구장,대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.8062601,128.5435924,근린공원 관련 시설,도원공원,대구광역시 달서구 미리샘길 26,1993,배드민턴장,대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.8062601,128.5435924,근린공원 관련 시설,도원공원,대구광역시 달서구 미리샘길 26,1993,농구장,대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.8062601,128.5435924,근린공원 관련 시설,도원공원,대구광역시 달서구 미리샘길 26,2008,"좌식싸이클,구름사다리,몸통비틀기,평행봉,링운동,뛰어오르기,복근운동,팔굽혀펴기,인클라인벤치프레스,철봉,몸통비틀기,평행봉,자전거,줄타기,체어플,싸이클,트윈워밍암,트윈트위스트,레그프레스,롤링웨이스트,스트레칭로라,스텝싸이클,크로스컨트리,트윈워밍암+롤링웨이스트,오금펴기,체어플",대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.83576482,128.5223978,근린공원 관련 시설,대곡공원,대구광역시 달서구 한실로6길 6,1993,배드민턴장,대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
35.83576482,128.5223978,근린공원 관련 시설,대곡공원,대구광역시 달서구 한실로6길 6,2014,"큰활차머신,써핑롤링머신,체스트업머신,스윙워커 머신,워킹트레이너머신",대구광역시 달서구 공원녹지과 공원2팀,2024-05-24
