번호,소속지회,경로당명,주소
1,남구지회,영무예다음,"대구광역시 남구 대봉로 12 경로당 (봉덕동, 앞산봉덕영무예다음아파트)"
2,남구지회,양지,대구광역시 남구 성당로46길 80-4 1 (대명동)
3,남구지회,남덕경로당,대구광역시 남구 현충로7길 42-4 (대명동)
4,남구지회,화성파크드림,"대구광역시 남구 대봉로14길 30 화성파크드림경로당 (봉덕동, 봉덕화성파크드림)"
5,남구지회,한라하우젠트경로당,"대구광역시 남구 봉덕로21길 53-16 한라하우젠트경로당 (봉덕동, 한라하우젠트)"
6,남구지회,동서프라임,"대구광역시 남구 이천로19길 81 동서프라임경로당 (대명동, 교대역동서프라임36.5)"
7,남구지회,관문경로당,대구광역시 남구 관문시장6길 7-4 (대명동)
8,남구지회,대명2동경로당,대구광역시 남구 삼각지2길 20-11 (대명동)
9,남구지회,한마음경로당,대구광역시 남구 중앙대로26길 21-1 (봉덕동)
10,남구지회,대현,대구광역시 남구 앞산순환로63길 74-5
11,남구지회,대명11동,대구광역시 남구 대명역6길 48
12,남구지회,개나리맨션,대구광역시 남구 두류공원로5길 42-8
13,남구지회,명성,대구광역시 남구 두류공원로5길 42-8
14,남구지회,파크맨션,대구광역시 남구 대명복개로 230
15,남구지회,대명10동,대구광역시 남구 도촌길 150
16,남구지회,청록타운,대구광역시 남구 큰골길 198
17,남구지회,대명9동,대구광역시 남구 큰골길 53
18,남구지회,코스모스,대구광역시 남구 대명로 10길 6
19,남구지회,뉴코스모스,대구광역시 남구 대명로 42
20,남구지회,골안,대구광역시 남구 대명서7길 106
21,남구지회,대복,대구광역시 남구 대명로20길 28
22,남구지회,대우,대구광역시 남구 안지랑로7길 14-3
23,남구지회,기로회,대구광역시 남구 대명로49길 77
24,남구지회,명오당,대구광역시 남구 대명로58길 11
25,남구지회,대명4동,대구광역시 남구 대경5길 101-2
26,남구지회,일심,대구광역시 남구 성명공원길 49
27,남구지회,대덕,대구광역시 남구 삼각지5길 17
28,남구지회,명동,대구광역시 남구 성당로48길 68
29,남구지회,대명3동,대구광역시 남구 명덕로10길 27-1
30,남구지회,영선,대구광역시 남구 중앙대로50길 40
31,남구지회,대명8동,대구광역시 남구 영선시장1길 85-1
