행정동,전체노인수,독거노인총계,비율,국민기초생활보장 수급자 수(65세이상 1인가구),저소득자 수(65세이상 1인가구),관리부서,기준일자
성당동,5238,1717,32.81,445,1818,어르신장애인과,2024-07-17
두류1.2동,3677,1347,52.03,548,1425,어르신장애인과,2024-07-17
두류3동,2240,664,29.79,199,705,어르신장애인과,2024-07-17
본리동,3050,709,23.32,69,1852,어르신장애인과,2024-07-17
감삼동,4376,1003,22.92,180,1088,어르신장애인과,2024-07-17
죽전동,2716,803,29.64,295,2048,어르신장애인과,2024-07-17
장기동,2843,745,38.24,226,873,어르신장애인과,2024-07-17
용산1동,4382,944,21.52,202,869,어르신장애인과,2024-07-17
용산2동,4086,975,23.92,199,1047,어르신장애인과,2024-07-17
이곡1동,3178,741,23.43,201,895,어르신장애인과,2024-07-17
이곡2동,2948,597,20.52,83,561,어르신장애인과,2024-07-17
신당동,5032,1929,38.5,1269,1946,어르신장애인과,2024-07-17
월성1동,3529,562,15.94,62,292,어르신장애인과,2024-07-17
월성2동,4961,2356,47.57,1643,1021,어르신장애인과,2024-07-17
진천동,8939,2142,22.71,240,1085,어르신장애인과,2024-07-17
유천동,2109,308,14.6,53,438,어르신장애인과,2024-07-17
상인1동,6122,1095,17.91,142,1240,어르신장애인과,2024-07-17
상인2동,3598,1025,28.51,278,884,어르신장애인과,2024-07-17
상인3동,3888,1870,48.15,1330,205,어르신장애인과,2024-07-17
도원동,7178,1684,23.47,516,2029,어르신장애인과,2024-07-17
송현1동,4515,1616,35.9,466,1720,어르신장애인과,2024-07-17
송현2동,5075,1850,36.64,735,1485,어르신장애인과,2024-07-17
본동,2927,1000,49.14,359,1109,어르신장애인과,2024-07-17
