위도,경도,명칭,주소,전화번호,행정동,담당부서,기준일자
35.85117961,128.5694405,삼성노인회관,대구광역시 달서구 성당로33안길 23(성당동),053-651-1808,성당동,대구광역시 달서구 어르신장애인과,2024-05-17
35.83980358,128.5562749,성당동제1경로당,대구광역시 달서구 대명천로12안길 47(성당동),053-627-3364 ,성당동,대구광역시 달서구 어르신장애인과,2024-05-17
35.84935967,128.5692835,성당에덴타운,"대구광역시 달서구 성당로33길 16(성당동,성당에덴)",053-628-8868,성당동,대구광역시 달서구 어르신장애인과,2024-05-17
35.84410202,128.5545227,성당,대구광역시 달서구 장기로10안길 15(성당동),053-623-9926,성당동,대구광역시 달서구 어르신장애인과,2024-05-17
35.84428745,128.5475166,우방라일락아파트노인정,"대구광역시 달서구 장기로26길 30(성당동,라일락)",053-621-8380,성당동,대구광역시 달서구 어르신장애인과,2024-05-17
35.8409939,128.5502945,성당동제2경로당,대구광역시 달서구 야외음악당로9길 45(성당동),053-629-7981,성당동,대구광역시 달서구 어르신장애인과,2024-05-17
35.8470705,128.5479675,원화경로당,대구광역시 달서구 장기로26길 81(성당동),053-653-9621,성당동,대구광역시 달서구 어르신장애인과,2024-05-17
35.8378257,128.5512799,대한민국상이군경회 달서구지회,대구광역시 달서구 야외음악당로2길 25(성당동),053-651-9300,성당동,대구광역시 달서구 어르신장애인과,2024-05-17
35.84314371,128.5473095,성당포스코더샾,"대구광역시 달서구 장기로 115(성당동,성당동더샾)",053-657-2800,성당동,대구광역시 달서구 어르신장애인과,2024-05-17
35.84267072,128.5462767,성당래미안e편한세상3단지,"대구광역시 달서구 장기로 127(성당동,성당래미안e편한세상)",053-291-3331,성당동,대구광역시 달서구 어르신장애인과,2024-05-17
35.84489764,128.546137,성당두산위브,"대구광역시 달서구 당산로 82(성당동,두산위브) ",053-266-7270,성당동,대구광역시 달서구 어르신장애인과,2024-05-17
35.83770303,128.5524745,성당동제3경로당,대구광역시 달서구 야외음악당로2길 3(성당동),053-622-0060,성당동,대구광역시 달서구 어르신장애인과,2024-05-17
