위도,경도,약국명,주소,대표전화,팩스번호,소관부서,기준일자
35.85620268,128.5213144,21세기약국,대구광역시 달서구 성지로 78 (용산동),053-588-3377,053-588-3378,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.85424897,128.5103407,"J,마트약국",대구광역시 달서구 이곡동로 25 (이곡동),053-592-5111,053-592-5333,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.81827935,128.5325527,가가약국,"대구광역시 달서구 월배로 183, 지하 1층 (상인동, 상인 대성 스카이렉스)",053-643-7691,053-638-9296,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.83710735,128.5565438,서부약국,"대구광역시 달서구 구마로 262, 1층 (송현동)",053-624-2900,053-624-2900,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.81758446,128.5327472,가나약국,"대구광역시 달서구 월배로 175, 우리빌딩 102호 (상인동)",053-638-9404,053-638-9403,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.85404428,128.5485138,감삼시티약국,"대구광역시 달서구 달구벌대로 1666, 110호 (두류동)",053-627-5959,0504-474-0970,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.80796401,128.5354933,강남약국,대구광역시 달서구 도원로 20 (도원동),053-641-7120,053-641-7120,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.8263591,128.5437519,강산온누리약국,대구광역시 달서구 송현로 103 (송현동),053-634-9503,053-645-9522,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.83016759,128.5505848,건강드림약국,"대구광역시 달서구 월배로 397, 안촌빌딩 1층 (송현동)",053-651-5425,053-651-5455,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.85161139,128.501013,건강약국,대구광역시 달서구 달구벌대로 1222 (이곡동),053-584-3638,053-585-8451,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.82811673,128.5316889,건강한약국,"대구광역시 달서구 학산로7길 5 (월성동, 월성동서타운)",053-635-0113,,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.83158937,128.533151,건도약국,대구광역시 달서구 월성로 20 (월성동),053-634-2787,053-633-0990,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.81985558,128.5307704,건약국,대구광역시 달서구 상원로 128 (상인동),053-637-6388,053-638-5534,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.85307404,128.4783481,계명지하철약국,"대구광역시 달서구 달구벌대로 지하 1014, 대구지하철2호선 강창역 지하상가 1호 (호산동)",053-554-6622,053-554-6623,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.82192024,128.5285929,고은약국,대구광역시 달서구 조암남로 38 (월성동),053-631-8812,053-635-8812,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.8573514,128.558435,광장약국,"대구광역시 달서구 달구벌대로 1762 (두류동,104호)",053-656-1481,053-656-1480,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.85069005,128.5368551,굿모닝옵티마약국,대구광역시 달서구 와룡로 201 (죽전동),053-525-0855,053-211-4587,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.8501251,128.5301312,그랜드엠약국,"대구광역시 달서구 용산로 141, 104호 (용산동)",053-559-1008,053-567-2507,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.83683839,128.5523357,그린약국,대구광역시 달서구 구마로 224 (송현동),053-628-6600,053-628-8668,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.79900542,128.5292484,꿈나무약국,"대구광역시 달서구 한실로6길 98, 에스엔피빌딩 201호 (대곡동)",053-641-5599,053-641-5598,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.82413017,128.5463153,뉴현대약국,대구광역시 달서구 월배로 322 (송현동),070-4159-7589,053-654-7588,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.83421382,128.5307667,늘편한약국,대구광역시 달서구 학산로7길 67 (본동),053-654-1358,053-654-1358,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.85229651,128.4988252,늘푸른온누리약국,"대구광역시 달서구 신당로 56, 104호 (신당동, 주공상가)",053-591-1023,053-591-1023,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.83762484,128.5557394,다나약국,대구광역시 달서구 구마로 255 (성당동),053-624-1003,053-624-1050,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.81786243,128.5350952,다나은약국,"대구광역시 달서구 월배로 196, 1층 (상인동)",053-631-6288,053-637-6288,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.85779091,128.5291084,다솜약국,대구광역시 달서구 용산서로 14 (용산동),053-524-3210,053-524-3210,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.81296242,128.5095224,다온약국,"대구광역시 달서구 달서대로 65-25, 1층 (유천동)",053-636-3338,053-635-2228,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.8142425,128.5261738,다은약국,대구광역시 달서구 월배로 106 (진천동),053-631-7505,053-631-7505,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.81718285,128.523659,달구벌약국,"대구광역시 달서구 진천로 92, 이마트월배점 2층 (대천동)",053-632-8176,053-632-8178,대구광역시 달서구 보건소 보건행정과,2024-05-13
35.81391552,128.5246888,대건약국,대구광역시 달서구 월배로 92 (진천동),053-631-5112,053-631-5113,대구광역시 달서구 보건소 보건행정과,2024-05-13
