위도,경도,번호,구분,업종명,업소명,소재지(도로명),소재지(지번),소재지전화,식단,행정동명,주관부서,기준일자
128.5360904,35.85037316,1,,일반음식점,(유)아웃백스테이크하우스코리아죽전점,"대구광역시 달서구 달구벌대로 1545, 골든뷰 메디타워 2층 201,202,203호 (죽전동)",대구광역시 달서구 죽전동 273-6 골든뷰 메디타워 ,053-571-1851,,죽전동,대구광역시 달서구 위생과,2024-05-30
128.5422828,35.82433156,2,,일반음식점,(주)가야축산,"대구광역시 달서구 학산남로 90, 201동 101호 (송현동,우방송현하이츠)",대구광역시 달서구 송현동 906 우방송현하이츠 201동 101호,053-634-5878,,송현1동,대구광역시 달서구 위생과,2024-05-30
128.5192082,35.82181387,3,,일반음식점,(주)돈카돈츠,"대구광역시 달서구 조암로 105, 그루조암타워 3층 301,302호 (월성동)",대구광역시 달서구 월성동 1865 그루조암타워 ,,,월성1동,대구광역시 달서구 위생과,2024-05-30
128.5311418,35.84456982,4,,일반음식점,(주)돈카돈츠컴퍼니,대구광역시 달서구 용산로 82 (장기동),대구광역시 달서구 장기동 531-1 ,053-558-1127,,장기동,대구광역시 달서구 위생과,2024-05-30
128.5255431,35.81633567,5,,일반음식점,(주)로칼(LOEKAL)-센터2,"대구광역시 달서구 진천로16길 39, 진천맛타운 1층 125,126,127호 (진천동)",대구광역시 달서구 진천동 553 진천맛타운 ,,,진천동,대구광역시 달서구 위생과,2024-05-30
128.5028295,35.85511039,6,,일반음식점,(주)서림개발,"대구광역시 달서구 계대동문로 96, 지하1층 (이곡동, 혜성병원)",,,,이곡동,대구광역시 달서구 위생과,2024-05-30
128.527581,35.82106791,7,,일반음식점,(주)석정한우마을,대구광역시 달서구 조암남로 49 (월성동),대구광역시 달서구 월성동 1314 ,053-636-6000,,월성1동,대구광역시 달서구 위생과,2024-05-30
128.4801363,35.85388721,8,,일반음식점,(주)아워홈동산의료원장례식장성서점,"대구광역시 달서구 달구벌대로 1035, 계명대학교 동산의료원 새병원 지하1층 (신당동)",대구광역시 달서구 신당동 1000-2 계명대학교동산의료원 ,055-380-9913,,신당동,대구광역시 달서구 위생과,2024-05-30
128.4801363,35.85388721,9,,일반음식점,(주)아워홈푸드_동산의료원(PHO),"대구광역시 달서구 달구벌대로 1035, 계명대학교 동산의료원 새병원 지하1층 (신당동)",대구광역시 달서구 신당동 1000-2 계명대학교동산의료원 ,053-258-5840,,신당동,대구광역시 달서구 위생과,2024-05-30
128.4801363,35.85388721,10,,일반음식점,(주)아워홈푸드_동산의료원(남산왕돈까스),"대구광역시 달서구 달구벌대로 1035, 계명대학교 동산의료원 새병원 지하1층 (신당동)",대구광역시 달서구 신당동 1000-2 계명대학교동산의료원 ,053-258-5840,,신당동,대구광역시 달서구 위생과,2024-05-30
128.4801363,35.85388721,11,,일반음식점,(주)아워홈푸드_동산의료원(리틀싱카이),"대구광역시 달서구 달구벌대로 1035, 계명대학교 동산의료원 새병원 지하1층 (신당동)",대구광역시 달서구 신당동 1000-2 계명대학교동산의료원 ,053-258-5840,,신당동,대구광역시 달서구 위생과,2024-05-30
128.4801363,35.85388721,12,,일반음식점,(주)아워홈푸드_동산의료원(불고기명가),"대구광역시 달서구 달구벌대로 1035, 계명대학교 동산의료원 새병원 지하1층 (신당동)",대구광역시 달서구 신당동 1000-2 계명대학교동산의료원 ,053-258-5840,,신당동,대구광역시 달서구 위생과,2024-05-30
128.4801363,35.85388721,13,,일반음식점,(주)아워홈푸드_동산의료원(청진동순두부),"대구광역시 달서구 달구벌대로 1035, 계명대학교 동산의료원 새병원 지하1층 (신당동)",대구광역시 달서구 신당동 1000-2 계명대학교동산의료원 ,053-258-5840,,신당동,대구광역시 달서구 위생과,2024-05-30
128.5067023,35.8544491,14,,일반음식점,(주)에이더블유,"대구광역시 달서구 성서로 413, 지하2층 (이곡동, 에이더블유호텔)",대구광역시 달서구 이곡동 1198-7 ,053-589-6700,,이곡1동,대구광역시 달서구 위생과,2024-05-30
128.5146251,35.83334348,15,,일반음식점,(주)온정성푸드,"대구광역시 달서구 성서로36길 65, 1층 (월암동)",대구광역시 달서구 월암동 1033 ,053-586-7678,,월성1동,대구광역시 달서구 위생과,2024-05-30
128.5616113,35.8445381,16,,일반음식점,(주)올곧은-성당휴게소,"대구광역시 달서구 공원순환로 216, 1층 (성당동)",대구광역시 달서구 성당동 195-1 ,,,성당동,대구광역시 달서구 위생과,2024-05-30
128.5616113,35.8445381,17,,일반음식점,(주)올곧은-이마트 김밥,대구광역시 달서구 공원순환로 216 (성당동),대구광역시 달서구 성당동 195-1 ,,,성당동,대구광역시 달서구 위생과,2024-05-30
128.5648134,35.85485065,18,,일반음식점,(주)이랜드이츠 피자몰 대구이월드점,"대구광역시 달서구 두류공원로 200 (두류동,(지상1층))",대구광역시 달서구 두류동 산 302-11 (지상1층) ,053-620-0245,,두류1.2동,대구광역시 달서구 위생과,2024-05-30
128.5385891,35.84334824,19,,일반음식점,(주)컴바인넷,"대구광역시 달서구 장기로 199, 지하1층 (본리동)",대구광역시 달서구 본리동 62-19 ,053-716-3040,,본리동,대구광역시 달서구 위생과,2024-05-30
128.5332071,35.83686564,20,,일반음식점,(주)파라다이스웨딩,"대구광역시 달서구 구마로 52, 지상2층 (본동)",대구광역시 달서구 본동 687 외1필지 ,053-552-0500,,본동,대구광역시 달서구 위생과,2024-05-30
128.5363807,35.8338603,21,,일반음식점,(주)행복둥지를만드는사람들,"대구광역시 달서구 학산로19길 33-6, 1층 (본동)",대구광역시 달서구 본동 944-1 ,053-632-6900,,본동,대구광역시 달서구 위생과,2024-05-30
128.540562,35.85036096,22,,일반음식점,(주)현풍배감순할매집,"대구광역시 달서구 감삼북길 159 (감삼동,(지상1층))",대구광역시 달서구 감삼동 140-2 (지상1층) ,053-556-1709,,감삼동,대구광역시 달서구 위생과,2024-05-30
128.5482408,35.81262101,23,,일반음식점,<종로강남한의원식품사업부>더쌍화동서양까페,"대구광역시 달서구 상화북로 196, 상가105동 1층 104호 (상인동, 상인제림아파트)",대구광역시 달서구 상인동 1551 상인제림아파트 상가105동 104호,053-641-3434,,상인1동,대구광역시 달서구 위생과,2024-05-30
128.5453018,35.81738992,24,,일반음식점,1004천사카페,"대구광역시 달서구 상인로26안길 4, 1층 (상인동)",대구광역시 달서구 상인동 1533-2 ,,,상인1동,대구광역시 달서구 위생과,2024-05-30
128.5488667,35.83344767,25,,일반음식점,10창막창,"대구광역시 달서구 학산로42길 7, 1층 (송현동)",대구광역시 달서구 송현동 167-1 ,,,송현1동,대구광역시 달서구 위생과,2024-05-30
128.5523248,35.82690572,26,,일반음식점,110분식포차,"대구광역시 달서구 중흥로8길 110, 1층 (송현동)",대구광역시 달서구 송현동 1942-32 ,,,송현1동,대구광역시 달서구 위생과,2024-05-30
128.5557918,35.83671951,27,,일반음식점,119딧고기,"대구광역시 달서구 구마로52길 9, 주1동 1층 (송현동)",대구광역시 달서구 송현동 1040-1 ,,,송현1동,대구광역시 달서구 위생과,2024-05-30
128.538425,35.81593716,28,,일반음식점,12월의 섬마을,"대구광역시 달서구 월배로46길 66, 1층 (상인동)",대구광역시 달서구 상인동 583-97 ,,,상인1동,대구광역시 달서구 위생과,2024-05-30
