위도,경도,순번,기관분류,기관명,기관주소_도로명,의료기관분류,지역,대표전화,대표전화2,팩스번호,기준일자
35.8538871,128.4801355,1,상급종합병원,계명대학교동산병원,대구광역시 달서구 달구벌대로 1035 (신당동),지역응급의료센터,대구,1577-6622,053-1577-6622,053-258-7130,2024-05-20
35.81469791,128.5250923,2,종합병원,나사렛종합병원,"대구광역시 달서구 월배로 97, 나사렛병원 (진천동)",지역응급의료기관,대구,053-643-1400,053-643-1400,053-643-1405,2024-05-20
35.85264535,128.5449724,3,종합병원,더블유병원,대구광역시 달서구 달구벌대로 1632 (감삼동),지역응급의료기관,대구,053-550-5000,053-550-5000,053-572-7700,2024-05-20
35.83250638,128.5535563,4,종합병원,삼일병원,"대구광역시 달서구 월배로 436, 지하1,지상1~11층 (송현동)",지역응급의료기관,대구,053-659-3100,053-659-3100,053-659-3102,2024-05-20
35.85064264,128.5413828,5,종합병원,의료법인구의료재단 구병원,대구광역시 달서구 감삼북길 141 (감삼동),지역응급의료기관,대구,053-560-9114,053-560-9114,053-558-1163,2024-05-20
35.80288797,128.5517348,6,종합병원,한국보훈복지의료공단 대구보훈병원,대구광역시 달서구 월곡로 60 (도원동),지역응급의료기관,대구,053-630-7000,053-630-7000,053-630-7089,2024-05-20
35.81345343,128.525239,7,병원,(의)서봉의료재단 보강병원,대구광역시 달서구 월배로 102 (진천동),응급의료기관이외,대구,053-641-9200,053-641-9200,053-641-9247,2024-05-20
35.81329928,128.5213207,8,병원,달서미즈맘병원,대구광역시 달서구 월배로 62 (진천동),응급의료기관이외,대구,053-609-5000,053-609-5000,053-635-4149,2024-05-20
35.8505249,128.539511,9,병원,더나은병원,대구광역시 달서구 달구벌대로 1576 (감삼동),응급의료기관이외,대구,053-563-1000,053-563-1000,053-563-0100,2024-05-20
35.85110601,128.5385628,10,병원,더열린병원,"대구광역시 달서구 달구벌대로 1571, 더열린병원 (죽전동)",응급의료기관이외,대구,053-555-5520,053-555-5520,053-555-5526,2024-05-20
35.81905405,128.5366968,11,병원,마디탄탄병원,대구광역시 달서구 월배로 215 (상인동),응급의료기관이외,대구,053-634-1000,053-634-1000,053-643-2888,2024-05-20
35.85121305,128.5368032,12,병원,미래여성병원,대구광역시 달서구 와룡로 207 (죽전동),응급의료기관이외,대구,053-608-7000,053-608-7003,053-565-7200,2024-05-20
35.81148577,128.5175797,13,병원,백두병원,대구광역시 달서구 월배로 18 (진천동),응급의료기관이외,대구,053-425-5919,053-425-5919,053-423-2888,2024-05-20
35.83675189,128.5416645,14,병원,보광병원,"대구광역시 달서구 구마로 128, 보광병원 (본동)",응급의료기관이외,대구,053-651-3232,053-651-3232,053-527-5759,2024-05-20
35.85104881,128.4932264,15,병원,성서병원,대구광역시 달서구 달구벌대로 1152 (신당동),응급의료기관이외,대구,053-584-6655,053-584-6655,053-584-2552,2024-05-20
35.83789305,128.5364365,16,병원,에스병원,대구광역시 달서구 와룡로 57 (본리동),응급의료기관이외,대구,053-524-6601,053-524-6601,053-524-6607,2024-05-20
35.81608424,128.5295833,17,병원,여성아이병원,대구광역시 달서구 월배로 141 (진천동),응급의료기관이외,대구,1877-6622,1877-6622,053-473-2434,2024-05-20
35.84955946,128.5357182,18,병원,열린아동병원,"대구광역시 달서구 달구벌대로 1542, 3,4,5층 (감삼동)",응급의료기관이외,대구,053-269-7000,053-269-7000,053-269-7001,2024-05-20
35.83681628,128.5373701,19,병원,우리병원,대구광역시 달서구 와룡로 48 (본동),응급의료기관이외,대구,053-550-6700,053-550-6700,053-550-6789,2024-05-20
35.85690806,128.5568597,20,병원,의료법인명문의료재단 대구기독병원,대구광역시 달서구 달구벌대로 1750 (두류동),응급의료기관이외,대구,1688-7477,1688-7477,053-606-1644,2024-05-20
35.8573514,128.558435,21,병원,의료법인상보의료재단 대구경상병원,"대구광역시 달서구 달구벌대로 1762, 두류빌딩 1,3~6,8층 (두류동)",응급의료기관이외,대구,053-620-7300,053-620-7339,053-623-1177,2024-05-20
35.83364241,128.5396399,22,병원,의료법인열경의료재단 허병원,대구광역시 달서구 학산로 121 (본동),응급의료기관이외,대구,053-527-0300,053-527-0300,053-663-1200,2024-05-20
35.83664306,128.5516923,23,병원,의료법인 일민의료재단 세강병원,"대구광역시 달서구 구마로 220, 세강병원 (송현동)",응급의료기관이외,대구,053-215-6200,053-215-6200,053-620-6300,2024-05-20
35.85510995,128.5028286,24,병원,의료법인해성의료재단해성아리즈웰병원,대구광역시 달서구 계대동문로 96 (이곡동),응급의료기관이외,대구,053-760-1000,053-760-1081,053-581-2548,2024-05-20
35.8110469,128.5169351,25,병원,진천신라병원,대구광역시 달서구 월배로 10 (진천동),응급의료기관이외,대구,053-642-2475,053-642-2475,053-642-0094,2024-05-20
35.83029821,128.5515819,26,병원,참조은병원,대구광역시 달서구 월배로 404 (송현동),응급의료기관이외,대구,053-630-8000,053-630-8000,053-630-8500,2024-05-20
35.85483038,128.5113852,27,병원,한미병원,대구광역시 달서구 이곡동로 66 (이곡동),응급의료기관이외,대구,053-284-0119,053-284-0119,053-593-4107,2024-05-20
35.85404428,128.5485138,28,한방병원,대구S한방병원,"대구광역시 달서구 달구벌대로 1666, 감삼스퀘어 8,9,10층 (두류동)",응급의료기관이외,대구,053-637-3375,053-637-3375,053-752-3375,2024-05-20
35.81856669,128.5348232,29,한방병원,광명한방병원,대구광역시 달서구 월배로 195 (상인동),응급의료기관이외,대구,053-636-7777,053-636-7777,053-636-0776,2024-05-20
35.82502356,128.5279716,30,한방병원,수월한방병원,"대구광역시 달서구 조암로 17, 월성동 이래타워 키즈 2,3,4층 (월성동)",응급의료기관이외,대구,053-643-5000,053-643-5000,053-643-5008,2024-05-20
35.8542145,128.5467657,31,한방병원,잘보는한방병원,대구광역시 달서구 달구벌대로 1653(감삼동),응급의료기관이외,대구,053-559-7777,053-559-7777,053-551-7778,2024-05-20
35.85215632,128.5434966,32,한방병원,창한방병원,"대구광역시 달서구 달구벌대로 1616, 핸즈미세빌딩 (감삼동)",응급의료기관이외,대구,053-556-9900,053-556-9900,053-556-9905,2024-05-20
35.83791698,128.5568815,33,치과병원,곽치과병원,"대구광역시 달서구 구마로 265, 5층 (성당동, 미래빌딩)",응급의료기관이외,대구,053-654-3447,053-654-3447,053-628-3448,2024-05-20
35.81819979,128.5362483,34,치과병원,라온치과병원,"대구광역시 달서구 월배로 206 (상인동, 2~6층)",응급의료기관이외,대구,053-634-0000,053-634-0000,053-634-2307,2024-05-20
35.83710735,128.5565438,35,치과병원,서부라온치과병원,대구광역시 달서구 구마로 262 (송현동),응급의료기관이외,대구,053-629-1900,053-629-1900,053-629-1906,2024-05-20
35.85092012,128.5378087,36,치과병원,에프엠치과병원,"대구광역시 달서구 달구벌대로 1565, 4~9층 (죽전동)",응급의료기관이외,대구,053-560-1000,053-560-1000,053-560-1099,2024-05-20
35.821599,128.5207763,37,치과병원,제로치과병원,"대구광역시 달서구 조암로 5, 5층 501,502,503호 (월성동)",응급의료기관이외,대구,053-642-2200,053-642-2200,053-642-2209,2024-05-20
35.84915715,128.5469634,38,정신병원,미주병원,대구광역시 달서구 당산로 138 (성당동),응급의료기관이외,대구,053-629-8119,053-629-8119,053-629-8115,2024-05-20
35.85493476,128.5508782,39,정신병원,베스트병원,"대구광역시 달서구 달구벌대로 1690, 5,6,7,8,9층 (두류동)",응급의료기관이외,대구,053-657-2000,053-657-2000,053-655-3662,2024-05-20
35.85129309,128.5390512,40,정신병원,서대구대동병원,대구광역시 달서구 달구벌대로 1577 (죽전동),응급의료기관이외,대구,053-662-1000,053-662-1000,053-662-1001,2024-05-20
35.8606118,128.5742028,41,정신병원,위드병원,"대구광역시 달서구 명덕로 23, 2층 (두류동)",응급의료기관이외,대구,053-522-1275,053-522-1275,053-523-1275,2024-05-20
35.85219826,128.5731899,42,요양병원,대구명성요양병원,대구광역시 달서구 성당로 223 (두류동),응급의료기관이외,대구,053-260-7000,053-260-7000,053-262-5115,2024-05-20
35.81449849,128.5274038,43,요양병원,대구행복요양병원,"대구광역시 달서구 월배로 120, 6~10층 (진천동)",응급의료기관이외,대구,053-720-5700,053-720-5700,053-710-5574,2024-05-20
35.82002923,128.5403222,44,요양병원,상인요양병원,"대구광역시 달서구 월배로 247, 지하1층, 지상2,3,4,5층 (상인동)",응급의료기관이외,대구,053-282-5000,053-282-5000,053-282-5001,2024-05-20
35.84803838,128.5188363,45,요양병원,성서요양병원,대구광역시 달서구 문화회관1안길 29 (장기동),응급의료기관이외,대구,053-593-7587,053-593-7587,053-593-7599,2024-05-20
35.82874495,128.5502651,46,요양병원,송현효요양병원,대구광역시 달서구 월배로 384 (송현동),응급의료기관이외,대구,053-626-7100,053-626-7100,053-626-7105,2024-05-20
