시설명,관리주체,부지면적,좌석수,수용인원,준공연도
율하체육공원운동장,동구 체육진흥과(직영),24128,880,990,2009
대구스타디움,체육시설관리부,467779,66422,100000,2001
대구스타디움보조경기장,체육시설관리부,44700,2500,3000,2001
달성종합스포츠파크주경기장,달성군시설관리공단,144500,8758,,2014
육상진흥센터,체육시설관리부,27040,5000,7500,2013
달성종합스포츠파크 보조경기장,달성군시설관리공단,7536,100,100,2014
하빈지구 강변축구장,달성군시설관리공단,7140,,,2012
환경자원사업소 축구장,환경자원사업소,8000,,,2010
구지축구장,달성군시설관리공단,7466,,,2007
생활체육공원축구장(1),군위군,,0,0,2012
생활체육공원축구장(2),군위군,59800,600,600,2006
안심 하키장,대구환경공단(동부사업소),50760,,1560,2001
대구삼성라이온즈파크,체육시설관리부,150868,24068,29000,2016
대구시민운동장야구장,체육시설관리부,27924,645,10000,1948
강변 리틀야구장,체육시설관리부,7996,204,,2008
강변제2리틀야구장,체육시설관리부,6500,,,2017
검단동 리틀야구장,북구 체육진흥과(직영),8500,0,,2017
검단동 강변야구장,북구 체육진흥과(직영),17000,0,,2016
방천리야구장,체육시설관리부(위탁:대구공공시설관리공단),56603,,,2017
하빈지구 야구장,달성군(위탁:달성군시설관리공단),12910,,,2012
세천리틀야구장,체육시설관리부(위탁:대구공공시설관리공단),9200,,,2014
세천강변야구장,체육시설관리부(위탁:대구공공시설관리공단),8800,,,
달성강변야구장,달성군(위탁:달성군시설관리공단),151000,,,2013
삼국유사 제1야구장,군위군(임대:군위군야구소프트협회),12501,,,2017
삼국유사 제2야구장,군위군(임대:군위군야구소프트협회),12500,,,2022
만촌 자전거경기장,체육시설관리부(대구시자전거연맹),46972,1500,2000,1984
달성공원 테니스장, 달성공원관리사무소 ,1490,,,1979
율하체육공원테니스장, 동구 체육진흥과(직영) ,3125,,,2009
감삼테니스장, 서구(위탁 : 서구체육회) ,4432,-,-,2016
상리테니스장, 서구(위탁 : 서구테니스협회) ,1860,,,2011
남구 종합스포츠타운(테니스장), (사)대구남구스포츠클럽 ,2100,,,2018
시민운동장 테니스장, 체육시설관리부 ,2056,,,2019
태전 테니스장, 북구(직영) ,2538,,,1996
연암 테니스장, 북구(위탁 : 대구 북구 체육회) ,7800,,,2001
구암 테니스장, 북구(직영) ,24000,,,2017
신천하수처리장테니스장, 대구환경공단(신천사업소) ,1734,,,1993
화랑공원테니스장, 위탁(구 생활체육협의회) ,1813,,,2009
구민테니스장, 수성구 ,1893,,,
상화동산 테니스장, 위탁(수성구) ,3800,,,2003
무열대남문테니스장,수성구,780,,,
두류 테니스장, 체육시설관리부(위탁:달서구테니스협회) ,40577,500,1000,1992
유니버시아드 테니스장, 체육시설관리부(위탁:대구테니스협회) ,15603,3615,4000,2003
성서국민체육센터테니스장, 체육시설관리부(위탁:대구시체육회) ,1739,,,2005
성서산업단지 체육시설 내테니스장, 산단진흥과(위탁:성서산업단지 관리공단) ,2400,,,2015
월배테니스장, 위탁:(사)달서구체육회 ,2575,,,2017
명곡 테니스장, 달성군(위탁:달성군시설관리공단) ,4714,,,2002
달성 군민운동장테니스장, 달성군(위탁:달성군시설관리공단) ,31622,,,1996
논공 테니스장, 달성군(위탁:달성군시설관리공단) ,17590,,,2008
환경자원사업소테니스장, 환경자원사업소 ,3251,,,2010
다사체육공원테니스장,달성군(위탁:달성군시설관리공단),49380,,,2010
현풍테니스장, 달성군(위탁:달성군시설관리공단) ,4470,,,1996
달성종합스포츠파크 테니스장, 달성군시설관리공단 ,144500,,,2014
가창체육공원테니스장,달성군(위탁:달성군시설관리공단),45580,,,2010
다사매곡테니스장, 달성군(위탁:달성군시설관리공단) ,3479,,,2018
군위실내테니스장, 군위군 ,3980,337,337,2011
군위실외테니스장, 군위군 ,3442,-,-,2012
대구체육공원 씨름장,체육시설관리부,1885,,170,2018
달성종합스포츠파크씨름장,달성군시설관리공단,6188,,,2014
군위생활체육공원,군위군,1124,,500,2006
대구 체육관,체육시설관리부,19770,3867,5000,1971
대구 시민체육관,체육시설관리부,5480,884,2000,1992
다목적체육관,체육시설관리부,3002,600,2000,2020
시민운동장 스쿼시장,체육시설관리부(위탁 : 대구스쿼시연맹),2431,110,110,2018
군위풋살장,군위군,2726,,,2020
종합운동장 농구장,군위군,420,,,2022
대구체육관유도장,체육시설관리부(위탁:대구시유도회),1500,70,150,1980
