업소명,소재지도로명주소,업태명,위도,경도,데이터기준일자
(맥)참숯불한우갈비살돼지항정살,"대구광역시 북구 유통단지로8길 70, 3층 (산격동)",식육(숯불구이),128.612381,35.90520941,2023-09-07
24시교동촌콩나물해장국밥,대구광역시 북구 태전로 55 (태전동),한식,128.5433543,35.92516408,2023-09-07
3바다낙지해물,대구광역시 북구 구암로60길 58 (구암동),한식,128.569587,35.93946322,2023-09-07
감포생밀복,"대구광역시 북구 침산남로7길 2-1 (노원동1가,2층3층)",한식,128.5798036,35.88917479,2023-09-07
강북오리박사,대구광역시 북구 구암로60길 66 (구암동),한식,128.5703565,35.94012653,2023-09-07
고기한마당,대구광역시 북구 대현로9길 52 (산격동),식육(숯불구이),128.6033903,35.88840038,2023-09-07
기와집보쌈,"대구광역시 북구 대천로7길 6-10 (읍내동, A동 1,2층 B동 1층)",한식,128.5533296,35.93815143,2023-09-07
남다른감자탕대구산격점,대구광역시 북구 동북로 149-2 (산격동),한식,128.609529,35.9002577,2023-09-07
남도뚝배기,"대구광역시 북구 성북로 47, 1층 (침산동)",한식,128.5885949,35.89171872,2023-09-07
내고향식당,대구광역시 북구 동변로18길 43 (동변동),한식,128.6063022,35.91867895,2023-09-07
녹야원대구칠곡점,"대구광역시 북구 동암로 128-10, 3층 (구암동)",한식,128.564549,35.94326358,2023-09-07
"누리마을감자탕,등뼈찜","대구광역시 북구 공항로 9, 2층 (복현동)",한식,128.6160931,35.89817814,2023-09-07
돌고래회수산,대구광역시 북구 구암로60길 64 (구암동),일식,128.5701006,35.93999255,2023-09-07
돌판삼겹살미성칠곡3지구점,대구광역시 북구 학정로 504 (학정동),식육(숯불구이),128.5652485,35.94965059,2023-09-07
동해해물탕,"대구광역시 북구 칠곡중앙대로 202 (태전동,외 1필지)",한식,128.5491387,35.91396136,2023-09-07
뚱보냉면,대구광역시 북구 동암로38길 29-45 (구암동),한식,128.5698639,35.94097611,2023-09-07
련칠곡3지구본점,"대구광역시 북구 동천로 128-15 (동천동,2층)",일식,128.5624291,35.94286797,2023-09-07
명성가든,대구광역시 북구 옥산로 33 (노원동1가),식육(숯불구이),128.579672,35.88631824,2023-09-07
복어명가 임진강,대구광역시 북구 노원로10길 132 (노원동2가),복어취급,128.5744638,35.89057052,2023-09-07
복어잡는사람들,대구광역시 북구 칠곡중앙대로 306 (태전동),복어취급,128.5472721,35.92282985,2023-09-07
봉창이해물칼국수,대구광역시 북구 유통단지로8길 66 (산격동),한식,128.6122247,35.90505699,2023-09-07
뼈큰감자탕 금호지구점,"대구광역시 북구 내곡로 30, 2층 201,202,203호 (사수동)",한식,128.5098708,35.89828975,2023-09-07
뼈큰청진동해장국,대구광역시 북구 호국로 201 (서변동),한식,128.5989968,35.91970715,2023-09-07
삼백찬가,"대구광역시 북구 동천로23길 8, 남측 2층 (동천동)",한식,128.5597423,35.9422226,2023-09-07
샤브향엑스코점,"대구광역시 북구 유통단지로8길 50, 3층 (산격동)",한식,128.610469,35.90437193,2023-09-07
서원푸드,대구광역시 북구 학정로 524 (학정동),식육(숯불구이),128.5655711,35.95135255,2023-09-07
소고기참맛있는집,"대구광역시 북구 옥산로17길 14, 칠성동 리치프라자 1층 108,109호 (칠성동2가)",식육(숯불구이),128.5860145,35.88577364,2023-09-07
신천불주꾸미,대구광역시 북구 구암로54길 4 (구암동),한식,128.5668816,35.93467206,2023-09-07
아라쭈꾸미,대구광역시 북구 유통단지로8길 21-25 (산격동),한식,128.6090981,35.90473944,2023-09-07
언덕아래집,대구광역시 북구 대현로9길 49-6 (대현동),한식,128.603698,35.88808337,2023-09-07
연화정,대구광역시 북구 유통단지로8길 21-19 (산격동),한식,128.6089188,35.90446995,2023-09-07
옛살나비추어탕,대구광역시 북구 칠곡중앙대로 563-8 (읍내동),한식,128.550395,35.94647507,2023-09-07
오늘잡은소,대구광역시 북구 구리로 183-8 (국우동),식육(숯불구이),128.5746985,35.94891159,2023-09-07
왕추,"대구광역시 북구 대현로9길 55 (대현동,외 2필지)",한식,128.6032328,35.8880767,2023-09-07
우돈생고기,"대구광역시 북구 경대로 107 (복현동,외 1필지)",식육(숯불구이),128.6180341,35.88995714,2023-09-07
우뚝해장국,대구광역시 북구 유통단지로8길 21-23 (산격동),한식,128.6088092,35.90462373,2023-09-07
우야지막창,"대구광역시 북구 침산로 74 (칠성동2가,(1층,2층))",식육(숯불구이),128.5903017,35.88291344,2023-09-07
원할머니보쌈대구침산점,대구광역시 북구 원대로 123 (노원동1가),한식,128.5826229,35.8884671,2023-09-07
유통복어,대구광역시 북구 유통단지로8길 13-14 (산격동),복어취급,128.6085438,35.90468817,2023-09-07
이가네더덕밥 대구팔공산점,대구광역시 북구 이곡길 35-41 (서변동),한식,128.603996,35.93884396,2023-09-07
이비가짬뽕대구칠곡점,"대구광역시 북구 칠곡중앙대로 643, 1층 (읍내동)",한식,128.5536669,35.95309364,2023-09-07
장원,대구광역시 북구 대구체육관로8길 6 (산격동),식육(숯불구이),128.6032423,35.89224074,2023-09-07
전원숯불(태전점),"대구광역시 북구 칠곡중앙대로 269, 2층 (태전동)",식육(숯불구이),128.5463635,35.91962531,2023-09-07
전원숯불침산점,"대구광역시 북구 침산로 66, 1층 (칠성동2가)",식육(숯불구이),128.5902531,35.88233683,2023-09-07
정동진해물찜,대구광역시 북구 대불서길 63 (산격동),한식,128.6117232,35.90467198,2023-09-07
짬뽕신,"대구광역시 북구 옥산로 98, 1층 (고성동3가)",중국식,128.5860674,35.8839437,2023-09-07
천안문,대구광역시 북구 유통단지로8길 62 (산격동),중국식,128.6116246,35.9048167,2023-09-07
팔공산맥,"대구광역시 북구 칠곡중앙대로 329 (태전동,외 2필지)",식육(숯불구이),128.5465138,35.925357,2023-09-07
한가네칼국수,대구광역시 북구 침산로21길 23 (칠성동2가),한식,128.5868884,35.88562515,2023-09-07
한서회,대구광역시 북구 팔거천동로 122 (동천동),일식,128.5562885,35.93495608,2023-09-07
해바라기숯불갈비,대구광역시 북구 공항로 10-10 (복현동),식육(숯불구이),128.6166161,35.89705781,2023-09-07
해송,대구광역시 북구 유통단지로8길 21-29 (산격동),한식,128.6092079,35.90460368,2023-09-07
호야암소한마리,대구광역시 북구 이곡길 24-1 (서변동),식육(숯불구이),128.6057127,35.93723096,2023-09-07
황금코다리대구칠곡점,대구광역시 북구 구리로 173 (국우동),한식,128.5738596,35.9478701,2023-09-07
황장군유통단지점,대구광역시 북구 유통단지로8길 50 (산격동),식육(숯불구이),128.610469,35.90437193,2023-09-07
황장군침산점,"대구광역시 북구 옥산로 106 (고성동3가,외 1필지)",한식,128.5869415,35.88382225,2023-09-07
황제복어,"대구광역시 북구 동천로23길 58, 1층 (동천동)",복어취급,128.5549863,35.94365079,2023-09-07
