순번,의료기관명,허가종별,업무상태,의료기관주소(도로명),의료기관행정동주소,위도,경도,대표전화,데이터기준일자
1,건강한연합소아청소년과의원,의원,영업중,"대구광역시 북구 도남중앙로7길 6, 5층~7층 (국우동)",대구광역시 북구 국우동 1158번지 2호 ,35.95199204,128.5827743,053-325-1155,2024-07-31
2,경대숨이비인후과의원,의원,영업중,"대구광역시 북구 팔거천동로 210, 2층 203호~204호 (동천동)",대구광역시 북구 동천동 905번지 2호 ,35.94269494,128.5584452,053-323-8575,2024-07-31
3,굿플랜치과의원,치과의원,영업중,"대구광역시 북구 학정로 427, 4층 (동천동)",,35.94276007,128.5631723,053-326-7522,2024-07-31
4,꿈키우다 소아청소년과 봄이비인후과 연합의원,의원,영업중,"대구광역시 북구 구암로 153, 1층, 구암로 143, 2층 (동천동)",대구광역시 북구 동천동 876번지 4호 동천빌딩 ,35.93194535,128.5575152,053-321-6300,2024-07-31
5,나비치과의원,의원,영업중,"대구광역시 북구 도남중앙로7길 20-4, 도남지구 21B-1L 2층 203호~204호 (국우동)",대구광역시 북구 국우동 1158번지 도남지구 21B-1L ,35.95205094,128.5821019,053-325-3000,2024-07-31
6,늘시원한위대항의원,의원,영업중,"대구광역시 북구 동북로 163, 201동 5층 401호 (산격동, 산격대우아파트)",대구광역시 북구 산격2동 500번지 1호 산격대우아파트 ,35.89891339,128.612519,053-959-7175,2024-07-31
7,대구침산 설명한의원,한의원,영업중,"대구광역시 북구 침산남로 165, 2층 (침산동)",대구광역시 북구 침산2동 217번지 3호 ,35.88795838,128.5937322,053-716-7310,2024-07-31
8,더원플란트치과의원,치과의원,영업중,"대구광역시 북구 학정로 430, 2층 202호~203호 (구암동)",대구광역시 북구 구암동 765번지 5호 센츄럴비즈니스빌딩 ,35.94300044,128.5640547,053-716-0300,2024-07-31
9,도남365한의원,한의원,영업중,"대구광역시 북구 도남중앙로7길 20-10, 2층 202호~203호 (국우동)",,35.95201002,128.5824371,053-323-7975,2024-07-31
10,도남민정형외과의원,의원,영업중,"대구광역시 북구 도남중앙로7길 20-3, 103~106, 201~203호 (국우동)",대구광역시 북구 국우동 1145번지 3호 ,35.95240181,128.5821593,053-321-8275,2024-07-31
11,든든한의원,한의원,영업중,"대구광역시 북구 팔거천동로 80-1, 4층 (구암동)",대구광역시 북구 구암동 654번지 1호 ,35.93142344,128.5553032,053-710-8820,2024-07-31
12,마음행복정신건강의학과의원,의원,영업중,"대구광역시 북구 동북로 172, 3층 (산격동)",대구광역시 북구 산격3동 1260번지 9호 ,35.89890066,128.6112316,053-952-5075,2024-07-31
13,바로튼튼마취통증의학과의원,의원,영업중,"대구광역시 북구 학정로 427, 3층 (동천동)",대구광역시 북구 동천동 896번지 3층 ,35.94276007,128.5631723,053-313-7582,2024-07-31
14,바른손치과의원,치과의원,영업중,"대구광역시 북구 침산남로 165, 3층 (침산동)",대구광역시 북구 침산2동 217번지 3호 ,35.88795838,128.5937322,053-358-1500,2024-07-31
15,복현라온치과의원,치과의원,영업중,"대구광역시 북구 동북로 225, 2,3층 (복현동)",대구광역시 북구 복현2동 200번지 9호 ,35.89671092,128.6166734,053-941-2875,2024-07-31
16,빌리브의원,의원,영업중,"대구광역시 북구 동북로 244, 12층 (복현동)",대구광역시 북구 복현1동 426번지 7호 ,35.89524169,128.6175114,053-951-7977,2024-07-31
17,서변다온치과의원,치과의원,영업중,"대구광역시 북구 호국로 209, 3층 (서변동)",대구광역시 북구 무태조야동 1787번지 2호 ,35.9204633,128.5989796,053-716-2808,2024-07-31
18,서울다나운내과의원,의원,영업중,"대구광역시 북구 도남중앙로7길 20-4, 4층 402호~404호 (국우동)",대구광역시 북구 국우동 1158번지 도남지구 21B-1L ,35.95205094,128.5821019,053-322-7585,2024-07-31
19,스마일365한의원,한의원,영업중,"대구광역시 북구 침산로 124, 2층 (침산동)",,35.88729176,128.5917513,053-213-7975,2024-07-31
20,아라소아청소년과의원,의원,영업중,"대구광역시 북구 동북로 254, 3층 (복현동)",대구광역시 북구 복현1동 427번지 5호 ,35.89459797,128.6182965,053-956-7776,2024-07-31
21,에스본정형외과의원,의원,영업중,"대구광역시 북구 공항로 3, 지하1, 1층 (복현동)",대구광역시 북구 복현2동 539번지 122호 ,35.89809191,128.6157031,053-381-1122,2024-07-31
22,이상재정형외과의원,의원,영업중,대구광역시 북구 대천로 87 (동천동),,35.93718052,128.5588197,053-311-7575,2024-07-31
23,제이이비인후과의원,의원,영업중,"대구광역시 북구 침산로 138, 2층 201호 (침산동)",대구광역시 북구 침산2동 285번지 5호 명성프라임 201,35.8888084,128.5918725,053-710-3455,2024-07-31
24,칠곡중앙한의원,한의원,영업중,"대구광역시 북구 칠곡중앙대로 475, 2층 (관음동)",대구광역시 북구 관음동 1386번지 5호 ,35.93821515,128.5490664,053-323-3008,2024-07-31
25,침산맥치과의원,치과의원,영업중,"대구광역시 북구 침산남로19길 2, 2층일부층 (침산동)",대구광역시 북구 침산3동 363번지 7호 ,35.8894265,128.5869152,053-354-7575,2024-07-31
26,온유한의원,한의원,영업중,"대구광역시 북구 호국로 225, 3층 (서변동)",대구광역시 북구 무태조야동 1783번지 6호 ,35.92190193,128.5990228,053-952-1075,2024-07-31
27,대구탑내과의원,의원,영업중,"대구광역시 북구 학정로 415, 메가타운 2층 204호 (동천동)",대구광역시 북구 동천동 912번지 3호 메가타운 ,35.94184552,128.5629842,053-311-0011,2024-07-31
28,부경에스치과의원,치과의원,영업중,"대구광역시 북구 옥산로 95, 화인탑펠리스 402호 (칠성동2가)",대구광역시 북구 칠성동 90번지 화인탑펠리스 ,35.88463386,128.5859339,053-716-0279,2024-07-31
29,바른우리치과의원,치과의원,영업중,"대구광역시 북구 칠곡중앙대로 295, 1~2층 (태전동)",대구광역시 북구 태전1동 149번지 ,35.92207034,128.5463528,053-325-7775,2024-07-31
30,용한의원,한의원,영업중,"대구광역시 북구 연암로 139, 1층 (산격동)",대구광역시 북구 산격1동 799번지 2호 ,35.8969555,128.5949908,053-944-8884,2024-07-31
31,연경손길한의원,한의원,영업중,"대구광역시 북구 동화천로 225, 3층 301호 (연경동)",,35.94231873,128.6157148,053-716-1076,2024-07-31
32,바로치과의원,치과의원,영업중,"대구광역시 북구 동북로 244, 6층 601호~603호 (복현동)",대구광역시 북구 복현1동 426번지 7호 ,35.89524169,128.6175114,053-957-8585,2024-07-31
33,브이웰마취통증의학과의원,의원,영업중,"대구광역시 북구 동북로 244, 2층 (복현동)",대구광역시 북구 복현1동 426번지 7호 ,35.89524169,128.6175114,053-956-4886,2024-07-31
34,마리엘산부인과의원,의원,영업중,"대구광역시 북구 침산로 138, 명성프라임 205호 (침산동)",대구광역시 북구 침산2동 285번지 5호 명성프라임 205,35.8888084,128.5918725,053-358-7553,2024-07-31
35,도남연세치과의원,치과의원,영업중,"대구광역시 북구 도남중앙로7길 2, 도남지구 22B-1L 203호,204호 (국우동)",대구광역시 북구 국우동 0번지 도남지구 22B-1L ,35.951967,128.583257,053-314-2288,2024-07-31
36,복현베스트내과의원,의원,영업중,"대구광역시 북구 동북로 244, 복현비엘타워 501, 502, 503, 504호 (복현동)",대구광역시 북구 복현1동 426번지 7호 ,35.89524169,128.6175114,053-956-0153,2024-07-31
37,아이케어안과의원,의원,영업중,"대구광역시 북구 팔거천동로 213, 2층 (동천동)",대구광역시 북구 동천동 952번지 3호 ,35.94299428,128.557739,053-322-5050,2024-07-31
38,아이온안과의원,의원,영업중,"대구광역시 북구 팔달로 225, 2층 (노원동2가)",대구광역시 북구 노원동 274번지 ,35.88805012,128.5748259,053-285-0130,2024-07-31
39,칠성보강정형외과의원,의원,영업중,"대구광역시 북구 중앙대로 528, 6층 (칠성동2가)",대구광역시 북구 칠성동 369번지 1호 ,35.88002317,128.5961903,053-424-7585,2024-07-31
40,이웃집한의원,한의원,영업중,"대구광역시 북구 학정로 439, 칠곡메가타운 3층 305호 (동천동)",,35.94387919,128.5633389,053-314-1011,2024-07-31
41,청담류의원,의원,영업중,"대구광역시 북구 동암로 104, 2층 (동천동)",대구광역시 북구 동천동 895번지 4호 ,35.94400792,128.5623874,053-322-9333,2024-07-31
42,영진한의원,한의원,영업중,"대구광역시 북구 동북로 163, 201동동 312,313호 (산격동, 산격대우아파트)",대구광역시 북구 산격2동 500번지 1호 산격대우아파트 ,35.89891339,128.612519,053-382-8275,2024-07-31
43,혜윰한의원,한의원,영업중,"대구광역시 북구 동천로24길 9, 2층 201호 (동천동)","대구광역시 북구 동천동 911번지 7호 2층,201호 ",35.94195454,128.5618436,053-326-7392,2024-07-31
44,다온정형외과의원,의원,영업중,"대구광역시 북구 동북로 160, 2,5층 (산격동)","대구광역시 북구 산격1동 1260번지 1호 2층, 5층 ",35.89929395,128.610094,053-951-7585,2024-07-31
45,서울태365한의원,한의원,영업중,"대구광역시 북구 동북로 156, 2,9층 (산격동)",대구광역시 북구 산격3동 1238번지 1호 ,35.8994832,128.6096694,053-754-1075,2024-07-31
46,더참본정형외과의원,의원,영업중,"대구광역시 북구 동북로 289, 1~2층, 6~7층 (복현동)","대구광역시 북구 복현2동 338번지 8호 1~2층, 6~7층 ",35.8928745,128.6218732,053-213-0911,2024-07-31
47,올디플란트치과의원,치과의원,영업중,"대구광역시 북구 동북로 289, 5층 (복현동)",대구광역시 북구 복현2동 338번지 8호 5층 ,35.8928745,128.6218732,053-247-2828,2024-07-31
48,봄날에치과의원,치과의원,영업중,"대구광역시 북구 동북로 297, 3층 (복현동)",대구광역시 북구 복현2동 364번지 1호 3층 ,35.89268432,128.6226033,053-945-1500,2024-07-31
49,거송한의원,한의원,영업중,"대구광역시 북구 연암로 48, 2층 (산격동)",대구광역시 북구 산격1동 1002번지 4호 2층 ,35.89097943,128.5982896,053-358-3580,2024-07-31
50,리브원치과의원,치과의원,영업중,"대구광역시 북구 중앙대로 528, 7층 (칠성동2가)",대구광역시 북구 칠성동 369번지 1호 7층 ,35.88002317,128.5961903,053-716-7204,2024-07-31
51,바올한의원,한의원,영업중,"대구광역시 북구 침산남로 96, 3층 304호 (침산동)",대구광역시 북구 침산3동 430번지 1호 3층 304,35.88896278,128.586253,053-341-8588,2024-07-31
52,힘찬나무신경외과의원,의원,영업중,"대구광역시 북구 학정로 439, 칠곡메가타운 4층 404~405호 (동천동)",대구광역시 북구 동천동 896번지 2호 칠곡메가타운 4층 404~405호 ,35.94387919,128.5633389,053-324-7976,2024-07-31
53,바른의원,의원,영업중,"대구광역시 북구 신암로 31, 3층 (칠성동1가)",대구광역시 북구 칠성동 151번지 2호 3층 ,35.87535673,128.6056458,053-253-8275,2024-07-31
54,스토리치과의원,치과의원,영업중,"대구광역시 북구 신암로 75, 4층 (대현동)",대구광역시 북구 대현동 340번지 2호 4층 ,35.87850649,128.6086487,053-255-2882,2024-07-31
