기관명,운영상태,소재지(도로명),소재지(지번),위도,경도,전화번호,데이터 기준일자
튼튼약국,운영,"대구광역시 북구 학정로106길 10, 1층 (학정동)",대구광역시 북구 학정동 936번지 1호 1층,35.95174724,128.5665686,053-243-3738,2024-07-26
화창한약국,운영,대구광역시 북구 산격로8길 35-1 (산격동),대구광역시 북구 산격동 1313번지 61호,35.89372413,128.6092526,053-268-3929,2024-07-26
진약국,운영,"대구광역시 북구 동천로23길 30-23, 1층 106호 (동천동)",대구광역시 북구 동천동 953번지 1호 1층 106호,35.94398623,128.557067,053-311-7535,2024-07-26
태전제일약국,운영,대구광역시 북구 칠곡중앙대로 302 (태전동),대구광역시 북구 태전동422-16,35.92260868,128.54715,053-312-3525,2024-07-26
참약국,운영,"대구광역시 북구 학정로 429, 로데오프라자 1층 103호 (동천동)",대구광역시 북구 동천동 896번지 5호 로데오프라자 103호,35.94307553,128.563237,053-313-0391,2024-07-26
강북동산약국,운영,"대구광역시 북구 팔거천동로 223, 수정빌딩 103호 (동천동)",대구광역시 북구 동천동 951번지 2호 수정빌딩,35.94398644,128.5579185,053-313-3809,2024-07-26
손약국위드팜손약국,운영,"대구광역시 북구 호국로 807-45, B동 1층 (학정동)","대구광역시 북구 학정동 372번지 1호 B동, 1층",35.95507132,128.565314,053-313-7533,2024-07-26
금빛약국,운영,"대구광역시 북구 내곡로 38, 103호 (사수동)",대구광역시 북구 사수동 821번지 103호,35.89898859,128.5098975,053-321-1214,2024-07-26
성모온누리약국,운영,"대구광역시 북구 칠곡중앙대로 411, 2층 (태전동, 우영펠리스)",대구광역시 북구 태전동 940번지 2층,35.93252619,128.5479956,053-321-3722,2024-07-26
새중앙약국,운영,"대구광역시 북구 칠곡중앙대로 299, 1층 (태전동)",대구광역시 북구 태전동 415번지 2호 1층,35.92227688,128.5465136,053-321-8086,2024-07-26
스마일약국,운영,"대구광역시 북구 동암로12길 8, 칠곡홈플러스 1층 (동천동)","대구광역시 북구 동천동 968번지 칠곡홈플러스, 1층",35.94484991,128.5559672,053-322-1897,2024-07-26
인덕약국,운영,"대구광역시 북구 팔거천동로 36, 1층 (구암동)",대구광역시 북구 구암동 656번지 9호 1층,35.92796181,128.5526778,053-323-5044,2024-07-26
해민약국,운영,"대구광역시 북구 대천로 88, 1층 (동천동)",대구광역시 북구 동천동 934번지 2호 1층,35.93674156,128.5587372,053-323-6767,2024-07-26
새강북약국,운영,"대구광역시 북구 칠곡중앙대로 442, 1층 (읍내동)",대구광역시 북구 읍내동 1341번지 4호,35.93515658,128.5491513,053-323-7701,2024-07-26
강북약국,운영,"대구광역시 북구 칠곡중앙대로 450, 1층 101호 (읍내동)",대구광역시 북구 읍내동 1341번지 1층 101호,35.9359091,128.549446,053-323-8736,2024-07-26
강북약국,운영,"대구광역시 북구 칠곡중앙대로 450, 1층 101호 (읍내동)",대구광역시 북구 읍내동 1341번지 1층 101호,35.9359091,128.549446,053-323-8736,2024-07-26
한성약국,운영,대구광역시 북구 칠곡중앙대로 461 (관음동),대구광역시 북구 관음동 1386번지 12호,35.93701324,128.5488058,053-324-4884,2024-07-26
다나은약국,운영,"대구광역시 북구 내곡로 38-6, 2층 일부 (사수동)",대구광역시 북구 사수동 827 2층 일부,35.8989381,128.5106377,053-324-6288,2024-07-26
그린피스약국,운영,"대구광역시 북구 대천로 87, 1층 (동천동)",대구광역시 북구 동천동 931번지 2호 1층,35.93718052,128.5588197,053-325-0448,2024-07-26
희약국,운영,"대구광역시 북구 한강로4길 9, 106호 (사수동)",대구광역시 북구 사수동 953번지 106호,35.89607911,128.5145507,053-325-1685,2024-07-26
정약국,운영,"대구광역시 북구 구암로 136, 1층 (구암동)",대구광역시 북구 구암동 649번지 1층,35.93160845,128.5556222,053-325-2350,2024-07-26
들꽃약국,운영,"대구광역시 북구 학정로 415, 2층 201호 (동천동, 메가타운)",대구광역시 북구 동천동 912번지 3호 2층 201호,35.94184552,128.5629842,053-325-9898,2024-07-26
유정약국,운영,"대구광역시 북구 학정동로 10, 나동 1층 103호 (국우동, 칠곡그린빌 5,6단지)",대구광역시 북구 국우동 1080번지 칠곡그린빌 6단지 나동 103호,35.9440396,128.5670687,053-326-0242,2024-07-26
대학당약국,운영,"대구광역시 북구 학정로 551-50, 1층 (학정동)",대구광역시 북구 학정동 921번지 10호,35.95448605,128.5648639,053-326-5196,2024-07-26
매천약국,운영,"대구광역시 북구 매전로 78, 1층 (태전동)",대구광역시 북구 태전동 1125번지 1층,35.91258568,128.5468454,053-326-7580,2024-07-26
침산미소약국,운영,"대구광역시 북구 침산로 168, 1층 108,109호 (침산동)",대구광역시 북구 침산동 329번지 2호 108~9호,35.89119167,128.5906126,053-352-2122,2024-07-26
행복한약국,운영,"대구광역시 북구 침산남로 155, 1층 (침산동)",대구광역시 북구 침산동 222번지 4호 1층,35.88816829,128.5928327,053-352-4439,2024-07-26
다우약국,운영,대구광역시 북구 팔달로 143 (노원동3가),대구광역시 북구 노원3가 761-7,35.88938664,128.5657267,053-353-0390,2024-07-26
즐거운약국,운영,"대구광역시 북구 팔달로 149, 1층 (노원동3가)",대구광역시 북구 노원동3가 763번지 3호 1층,35.88936773,128.5664307,053-357-0020,2024-07-26
동창약국,운영,"대구광역시 북구 팔달로 207, 1층 (노원동2가)",대구광역시 북구 노원동2가 347번지 1층,35.88830559,128.5727492,053-357-7345,2024-07-26
고운약국,운영,"대구광역시 북구 노원로 74, 1층 (노원동3가)",대구광역시 북구 노원동3가 1015번지 1층,35.89383226,128.5701982,053-359-3852,2024-07-26
한국약국,운영,"대구광역시 북구 칠성시장로 26, 1층 (칠성동1가)",대구광역시 북구 칠성동1가 276번지 152호 1층,35.87656655,128.6043009,053-424-3213,2024-07-26
장수약국,운영,"대구광역시 북구 칠성시장로 14, 1층 (칠성동1가)",대구광역시 북구 칠성동1가 154번지 4호,35.87554835,128.6049283,053-425-5599,2024-07-26
다나약국,운영,대구광역시 북구 동북로 297 (복현동),대구광역시 북구 복현2동364-1,35.89268432,128.6226033,053-941-1155,2024-07-26
다나약국,운영,대구광역시 북구 동북로 297 (복현동),대구광역시 북구 복현2동364-1,35.89268432,128.6226033,053-941-1155,2024-07-26
열린약국,운영,"대구광역시 북구 동북로 345, 401동 107호 (복현동, 복현푸르지오아파트)",대구광역시 북구 복현동 694번지,35.89258902,128.627348,053-942-0852,2024-07-26
새복현약국,운영,"대구광역시 북구 공항로 7, 1층 (복현동)",대구광역시 북구 복현동 539번지 143호 1층,35.89813834,128.6159288,053-943-9386,2024-07-26
소은약국,운영,대구광역시 북구 대현남로6길 29 (대현동),대구광역시 북구 대현동 283번지 3호,35.88011594,128.6101066,053-944-4777,2024-07-26
금강약국,운영,"대구광역시 북구 동변로 24, 225동 107호 (동변동, 유니버시아드선수촌)",대구광역시 북구 동변동 682번지 유니버시아드선수촌,35.91623317,128.6025423,053-951-5759,2024-07-26
대현사랑약국,운영,"대구광역시 북구 대현남로6길 11, 1층 (대현동)",대구광역시 북구 대현동 390번지 1호 1층,35.8810503,128.6085824,053-957-5577,2024-07-26
푸른동변약국,운영,"대구광역시 북구 동변로 91, 1층 (동변동)",대구광역시 북구 동변동 669번지 4호,35.92101407,128.6031081,053-959-5669,2024-07-26
서변동산약국,운영,"대구광역시 북구 호국로 219, 대성골든프라자1차 131,134호 (서변동)","대구광역시 북구 서변동 1786 대성골든프라자1차 131,134호",35.92137191,128.5988241,000-000-0000,2024-07-26
바로약국,운영,"대구광역시 북구 동북로 289, 1층 (복현동)",대구광역시 북구 복현동 338-8,35.8928745,128.6218732,000-000-0000,2024-07-26
지성한약국,운영,"대구광역시 북구 칠곡중앙대로95길 25, 1층 (관음동)",대구광역시 북구 관음동 1345번지 7호 1층 일부,35.93880673,128.5466297,000-000-0000,2024-07-26
오약국,운영,"대구광역시 북구 칠곡중앙대로 332, B동 1층 (태전동)",대구광역시 북구 태전동 1074-2,35.9253331,128.5475836,000-000-0000,2024-07-26
칠성약국,운영,"대구광역시 북구 칠성시장로 10, 102~104호 (칠성동1가)",대구광역시 북구 칠성동1가 153번지 4호 102~104호,35.87532371,128.6050956,000-000-0000,2024-07-26
서약국,운영,"대구광역시 북구 구암로 153, 동천빌딩 1층 (동천동)",대구광역시 북구 동천동 876번지 4호 동천빌딩,35.93194535,128.5575152,000-000-0000,2024-07-26
연약국,운영,"대구광역시 북구 호국로 215, 대성골든프라자2차 202호 (서변동)",대구광역시 북구 서변동 1787번지 대성골든프라자2차 202호,35.92085908,128.5988176,000-000-0000,2024-07-26
서변우리약국,운영,"대구광역시 북구 호국로 215, 대성골든프라자2차 2층 205호 (서변동)",대구광역시 북구 서변동 1787번지 대성골든프라자2차 205호,35.92085908,128.5988176,000-000-0000,2024-07-26
국약국,운영,대구광역시 북구 구암로 150 (구암동),대구광역시 북구 구암동 650번지 1호,35.93148363,128.5571169,053-325-0055,2024-07-26
대구진약국,운영,"대구광역시 북구 태평로 161, 롯데백화점 대구역 지하2층 (칠성동2가)",대구광역시 북구 칠성동2가 302번지 155호 롯데백화점 대구역 지하2층,35.87588495,128.5961292,053-215-8811,2024-07-26
정성약국,운영,"대구광역시 북구 동북로 254, 1층 (복현동)",대구광역시 북구 복현동 427-5,35.89459797,128.6182965,053-216-9115,2024-07-26
국민약국,운영,대구광역시 북구 칠성시장로7길 28 (칠성동1가),대구광역시 북구 칠성동1가 178번지,35.87603744,128.6025763,053-254-2634,2024-07-26
신라약국,운영,"대구광역시 북구 칠곡중앙대로 205, 1층 (태전동)",대구광역시 북구 태전동 789번지 5호 1층,35.91445354,128.5481896,053-311-6767,2024-07-26
수약국,운영,"대구광역시 북구 태전로 1, 101동 102호 (태전동, 태전역 더 뉴클래스)",대구광역시 북구 태전동 206번지 10호 태전역 더 뉴클래스 101동 102호,35.9203356,128.5459503,053-311-7550,2024-07-26
정은약국,운영,"대구광역시 북구 칠곡중앙대로 223, 1층 (태전동)",대구광역시 북구 태전동 496번지 8호 1층,35.91587564,128.5481825,053-311-9330,2024-07-26
에이플러스 약국,운영,"대구광역시 북구 학정로 427, 2층 (동천동)",대구광역시 북구 동천동 896번지 2층,35.94276007,128.5631723,053-312-4934,2024-07-26
서울약국,운영,"대구광역시 북구 학정로 436, 1층 (구암동)",대구광역시 북구 구암동 765번지 3호 1층,35.94347323,128.5641612,053-313-3325,2024-07-26
아이맘약국,운영,"대구광역시 북구 팔거천동로 217, 1층 (동천동)",대구광역시 북구 동천동 952번지 1호 1층,35.94343993,128.5578262,053-313-3328,2024-07-26
아이맘약국,운영,"대구광역시 북구 팔거천동로 217, 1층 (동천동)",대구광역시 북구 동천동 952번지 1호 1층,35.94343993,128.5578262,053-313-3328,2024-07-26
효성약국,운영,"대구광역시 북구 칠곡중앙대로 537, 1층 (읍내동)",대구광역시 북구 읍내동 773번지 6호 1층,35.94364923,128.5504602,053-321-3030,2024-07-26
문전약국,운영,"대구광역시 북구 호국로 807-45, 1층 101호 (학정동)",대구광역시 북구 학정동 372-1 101호,35.95507132,128.565314,053-321-7738,2024-07-26
다원약국,운영,"대구광역시 북구 학남로3길 41, 1층 (학정동)",대구광역시 북구 학정동 927-17,35.95239391,128.5675816,053-322-1158,2024-07-26
칠곡대학약국,운영,대구광역시 북구 구암로15길 26 (읍내동),,35.93471282,128.5497962,053-322-2333,2024-07-26
대학정문약국,운영,"대구광역시 북구 칠곡중앙대로 434, 대구읍내 행복주택 판매,업무시설 1층 101호 (읍내동)",대구광역시 북구 읍내동 1343,35.93430873,128.5492002,053-322-7582,2024-07-26
라임약국,운영,"대구광역시 북구 구암로65길 52, 1층 (구암동)",대구광역시 북구 구암동 769번지 4호 (1층일부),35.94172277,128.564182,053-322-7771,2024-07-26
보건정문약국,운영,"대구광역시 북구 팔거천동로 209, 1층 (동천동)",대구광역시 북구 동천동 952번지 4호 1층,35.94275626,128.5576717,053-322-9909,2024-07-26
칠곡별약국,운영,"대구광역시 북구 팔거천동로 222, 동천 메디빌 빌딩 1층 101호 (동천동)",대구광역시 북구 동천동 892번지 3호 동천 메디빌 빌딩 101호,35.94365085,128.5586407,053-323-4568,2024-07-26
칠곡동아약국,운영,"대구광역시 북구 구암로15길 8, 1층 (읍내동)",대구광역시 북구 읍내동 1124번지 1호 1층,35.9332331,128.5495487,053-324-8784,2024-07-26
건강드림약국,운영,대구광역시 북구 대천로 93 (동천동),대구광역시 북구 동천동 931번지 5호,35.93709973,128.5594617,053-325-7012,2024-07-26
세계로약국,운영,"대구광역시 북구 칠곡중앙대로 400, 1층 (태전동)",대구광역시 북구 태전동 993번지 9호 1층,35.93133754,128.5485651,053-325-7900,2024-07-26
강북조은약국,운영,"대구광역시 북구 학정동로 45, 1층 (학정동)",대구광역시 북구 학정동 976번지 1호 1층,35.94792123,128.5671804,053-326-2929,2024-07-26
동천맑은약국,운영,"대구광역시 북구 팔거천동로 213, 1층 (동천동)",대구광역시 북구 동천동 952번지 3호 1층,35.94299428,128.557739,053-326-7514,2024-07-26
초록약국,운영,"대구광역시 북구 학정로 416, 2층 (구암동)",대구광역시 북구 구암동 769번지 3호 2층,35.94179538,128.5638106,053-326-9336,2024-07-26
태약국,운영,"대구광역시 북구 학정로 439, 칠곡메가타운 3층 303호 (동천동)",대구광역시 북구 동천동 896번지 2호 칠곡메가타운 303호,35.94387919,128.5633389,053-327-0011,2024-07-26
침산열린약국,운영,"대구광역시 북구 침산남로 138, 1층 (침산동)",대구광역시 북구 침산동 260번지 11호 1층,35.88815659,128.5906901,053-341-8028,2024-07-26
메디팜원대약국,운영,"대구광역시 북구 팔달로 217-1, 1층 (노원동2가)",대구광역시 북구 노원동2가 280번지 1호 1층,35.88825138,128.5740809,053-352-1112,2024-07-26
화인탑약국,운영,"대구광역시 북구 옥산로 95, 화인탑펠리스 109호 (칠성동2가)",대구광역시 북구 칠성동2가 90번지 화인탑펠리스 109호,35.88463386,128.5859339,053-354-7707,2024-07-26
성문약국,운영,"대구광역시 북구 팔달로 153, 1층 (노원동3가)",대구광역시 북구 노원동3가 764번지 9호 1층,35.88923264,128.5668109,053-356-3133,2024-07-26
팔달온누리약국,운영,"대구광역시 북구 팔달로 163, 1층 (노원동3가)",대구광역시 북구 노원동3가 770번지 2호 1층,35.88907869,128.5678419,053-356-8887,2024-07-26
안지약국,운영,"대구광역시 북구 침산남로 176, 1층 (침산동)",대구광역시 북구 침산동 145번지 34호,35.88736852,128.5947004,053-357-0110,2024-07-26
수화약국,운영,"대구광역시 북구 침산남로 140, 엠비프라자 1층 106호 (침산동)",대구광역시 북구 침산동 260번지 8호 엠비프라자,35.88808771,128.5909513,053-357-2353,2024-07-26
독일약국,운영,대구광역시 북구 팔달로 165 (노원동3가),대구광역시 북구 노원동3가 775번지,35.88901946,128.5680923,053-357-7464,2024-07-26
나라약국,운영,"대구광역시 북구 침산로 173, 1층 110호 (침산동)",대구광역시 북구 침산동 341번지 4호 1층 110호,35.89148394,128.5896846,053-358-1199,2024-07-26
검단약국,운영,"대구광역시 북구 검단로 255, 상가2동 1층 102호 (검단동, 민들레아파트)",대구광역시 북구 검단동 1128-3 민들레아파트,35.91633576,128.6281406,053-381-9275,2024-07-26
동남약국,운영,대구광역시 북구 검단로 112-1 (검단동),대구광역시 북구 검단동 936-30,35.9066772,128.6200568,053-382-1831,2024-07-26
오거리약국,운영,"대구광역시 북구 동북로 199, 1층 (산격동)",대구광역시 북구 산격동 1289-1,35.89820571,128.6143035,053-383-5920,2024-07-26
해오름약국,운영,"대구광역시 북구 중앙대로 528, 1층 (칠성동2가)",대구광역시 북구 칠성동2가 369-1,35.88002317,128.5961903,053-422-0307,2024-07-26
정약국,운영,"대구광역시 북구 칠성남로36길 6, 1층 (칠성동2가)",대구광역시 북구 칠성동2가 302번지 114호 1층,35.8764832,128.5987256,053-422-5628,2024-07-26
