업종구분,업소명,지정일자,구군,전화번호,소재지도로명주소,대표메뉴,대표메뉴가격,위도,경도,데이터기준일자
이미용업,희망이발관,2011-11-01,북구,053-322-4778,대구광역시 북구 구암로21길 13,컷트,11000,35.9334511792,128.5522614299,2024-06-30
이미용업,모범이용원,2011-11-01,북구,053-359-1783,대구광역시 북구 옥산로17길 50,컷트,12000,35.8888902626,128.5868721762,2024-06-30
이미용업,한신이용소,2011-11-01,북구,053-321-4058,대구광역시 북구 칠곡중앙대로77길 29,컷트,10000,35.9315099572,128.5450809119,2024-06-30
이미용업,남성헤어샵,2012-06-25,북구,053-325-7048,대구광역시 북구 태암로5길 11,컷트,10000,35.9295758797,128.5507165865,2024-06-30
한식(육류),장터숯불,2012-06-25,북구,053-423-2008,대구광역시 북구 공평로 135,돼지갈비(미국산),5000,35.8764511958,128.6009045512,2024-06-30
한식(육류),변사또숯불,2012-06-25,북구,053-422-8650,대구광역시 북구 공평로 135,돼지갈비(미국산) 150g,5000,35.8764511958,128.6009045512,2024-06-30
한식(일반),유정식당,2012-06-25,북구,053-351-1140,대구광역시 북구 오봉로3길 28,삼겹살(100g),5000,35.8901029787,128.5749519005,2024-06-30
중식,상하이반점,2012-06-25,북구,053-325-8376,대구광역시 북구 관음동로9길 19,짬뽕,6000,35.9373102620,128.5450092061,2024-06-30
중식,짜장궁,2012-06-25,북구,053-423-2937,대구광역시 북구 칠성남로35길 30-28,짜장면,5000,35.8781563194,128.6004865535,2024-06-30
한식(육류),늘봄숯불,2012-06-25,북구,053-355-4521,대구광역시 북구 오봉로1길 51,돼지갈비(국산200g),12000,35.8890623309,128.5733233240,2024-06-30
세탁업,명성푸르지오세탁소,2012-06-25,북구,053-353-1077,대구광역시 북구 침산로 153,정장1벌,9000,35.8889874510,128.5897437461,2024-06-30
이미용업,들꽃미용실,2012-06-25,북구,053-355-7203,대구광역시 북구 침산남로13길 38-8,컷트,6000,35.8913381115,128.5801764817,2024-06-30
한식(육류),왕추,2013-12-27,북구,053-959-0038,대구광역시 북구 대현로9길 55,찜닭,19000,35.8880735393,128.6032231848,2024-06-30
이미용업,짚시헤어라인,2019-10-25,북구,010-****-0491,대구광역시 북구 침산로 255,컷트,6000,35.8988784937,128.5887879306,2024-06-30
한식(면류),예손가 손칼국수,2022-12-01,북구,053-354-9090,대구광역시 북구 옥산로 62,바지락칼국수+공기밥,8000,35.8846824310,128.5823612431,2024-06-30
한식(육류),별미춘천닭갈비,2022-12-01,북구,053-323-2818,대구광역시 북구 동암로38길 29-31,닭갈비(200g),10000,35.9409842186,128.5693436826,2024-06-30
한식(육류),마장동낭만대패,2022-12-01,북구,010-****-5330,대구광역시 북구 팔거천동로24길 7-1,대패삼겹살(100g),4500,35.9343229858,128.5568636900,2024-06-30
한식(육류),진미능이버섯골,2023-06-15,북구,053-353-5178,대구광역시 북구 원대로21길 6,삼겹살(국내산130g),10000,35.8872359540,128.5818926910,2024-06-30
중식,칠성루,2023-06-15,북구,053-218-7474,대구광역시 북구 칠성로 88,탕수육 (국내산200g),12000,35.8787854437,128.5987788537,2024-06-30
한식(육류),소복한닭곰탕,2023-06-15,북구,053-955-9346,대구광역시 북구 대동로1길 35,통닭(후라이드),15000,35.8986586655,128.6108786755,2024-06-30
이미용업,박영숙헤어,2023-06-15,북구,053-381-0501,대구광역시 북구 동북로서37길 16,커트,12000,35.8997823455,128.6121570858,2024-06-30
이미용업,목원헤어,2023-06-15,북구,053-941-0010,대구광역시 북구 서변로9길 6,커트(남성),12000,35.9201139130,128.5961846130,2024-06-30
