"시설명",시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자
"고성2.3가경로당",경로당,대구광역시 북구 고성북로 35-13(고성동3가),,35.8830628694,128.5825069667,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"고성A경로당",경로당,대구광역시 북구 고성북로 3(고성동2가),,35.8806790684,128.5815703785,영업,053-665-2532,1993-11-29,,대구광역시 북구청,2023-07-07
"장수경로당",경로당,대구광역시 북구 칠성남로 41-8(고성동2가),,35.8798265578,128.5853383408,영업,053-665-2532,2012-05-14,,대구광역시 북구청,2023-07-07
"오페라트루엘경로당",경로당,대구광역시 북구 고성북로 34(고성동3가),,35.8831703630,128.5841209342,영업,053-665-2532,2021-08-04,,대구광역시 북구청,2023-07-07
"북성경로당",경로당,대구광역시 북구 칠성남로20길 22-2(칠성동2가),,35.8784171328,128.5899082676,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"삼성A경로당",경로당,대구광역시 북구 호암로 40(칠성동2가),,35.8819029492,128.5937818904,영업,053-665-2532,1996-06-15,,대구광역시 북구청,2023-07-07
"성광우방타운경로당",경로당,대구광역시 북구 호암로 20(칠성동2가),,35.8826629400,128.5920247429,영업,053-665-2532,1996-06-15,,대구광역시 북구청,2023-07-07
"칠성경로당",경로당,대구광역시 북구 칠성남로29길 11(칠성동2가),,35.8779898996,128.5969107589,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"칠성1가경로당",경로당,대구광역시 북구 칠성시장로1길 60-3(칠성동1가),,35.8748018574,128.6022612403,영업,053-665-2532,1994-04-06,,대구광역시 북구청,2023-07-07
"칠성2가2동경로당",경로당,대구광역시 북구 공평로 179-6(칠성동2가),,35.8803020169,128.6004601911,영업,053-665-2532,1991-01-26,,대구광역시 북구청,2023-07-07
"칠성우방맨션경로당",경로당,대구광역시 북구 중앙대로105길 22(칠성동2가),,35.8807233408,128.5935113263,영업,053-665-2532,2004-09-03,,대구광역시 북구청,2023-07-07
"침산1차푸르지오경로당",경로당,대구광역시 북구 옥산로 103(칠성동2가),,35.8845215060,128.5866896541,영업,053-665-2532,2006-05-29,,대구광역시 북구청,2023-07-07
"열린경로당",경로당,대구광역시 북구 칠성로 25-12(칠성동2가),,35.8802351771,128.5926225819,영업,053-665-2532,2010-04-30,,대구광역시 북구청,2023-07-07
"삼성시장경로당",경로당,대구광역시 북구 칠성시장로 28(칠성동1가),,35.8769795703,128.6045009807,영업,053-665-2532,2011-04-18,,대구광역시 북구청,2023-07-07
"서희스타힐스경로당",경로당,대구광역시 북구 칠성남로101(칠성2가),,35.8786256114,128.5918708538,영업,053-665-2532,2012-06-19,,대구광역시 북구청,2023-07-07
"오페라코오롱하늘채경로당",경로당,대구광역시 북구 중앙대로 540(칠성동2가),,35.8803270538,128.5970633167,영업,053-665-2532,2015-03-20,,대구광역시 북구청,2023-07-07
"대구역유림노르웨이숲경로당",경로당,대구광역시 북구 칠성남로26길 11,,35.8771972344,128.5927186532,영업,053-665-2532,2022-09-01,,대구광역시 북구청,2023-07-07
"동화타운경로당",경로당,대구광역시 북구 침산남로7길 50-21(침산동),,35.8932787036,128.5794928710,영업,053-665-2532,1999-06-14,,대구광역시 북구청,2023-07-07
"백사벌경로당",경로당,"대구광역시 북구 노원로48길 10, B103(침산동, 대한빌라)",,35.8998626014,128.5857157340,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"오봉경로당",경로당,대구광역시 북구 오봉로22길 45(침산동),,35.8958994341,128.5835270946,영업,053-665-2532,1995-11-08,,대구광역시 북구청,2023-07-07
"진목경로당",경로당,대구광역시 북구 오봉로 142(침산동),,35.9002582175,128.5795002044,영업,053-665-2532,2004-05-06,,대구광역시 북구청,2023-07-07
"침산1동경로당",경로당,대구광역시 북구 침산남로서9길 6-4(침산동),,35.8913915341,128.5811976105,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"남영타운경로당",경로당,대구광역시 북구 침산남로9길 167(침산동),,35.8995292894,128.5869760185,영업,053-665-2532,1999-08-06,,대구광역시 북구청,2023-07-07
"침산2동경로당",경로당,대구광역시 북구 침산남로31길 4-1(침산동),,35.8884289860,128.5930708416,영업,053-665-2532,2016-06-07,,대구광역시 북구청,2023-07-07
"옥산경로당",경로당,대구광역시 북구 칠성시장로25길 15(침산동),,35.8844853021,128.5996883983,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
