,구군,명칭,주소,위도,경도
0,중구,힘찬약국,대구광역시 중구 서성로 96,35.8738162,128.5876493
1,중구,희망약국,대구광역시 중구 달구벌대로 2212 ,35.863796,128.6044029
2,중구,호두약국,대구광역시 중구 달구벌대로 2207,35.863796,128.6044029
3,중구,혜민약국,대구광역시 중구 국채보상로 533 ,35.8703485,128.592908
4,중구,현대약국,대구광역시 중구 서성로14길 99 ,35.8723604,128.5875745
5,중구,행운약국,대구광역시 중구 태평로 160,35.874624999999995,128.59525144523155
6,중구,행복약국,대구광역시 중구 남산로 83-1 ,35.8605083,128.5842266
7,중구,한일약국,대구광역시 중구 국채보상로 598 ,35.8705232,128.5960307421687
8,중구,한성약국,대구광역시 중구 중앙대로 386-1,35.8667152,128.593521
9,중구,한미약국,대구광역시 중구 동성로6길 2-1 ,35.8683484,128.5954188
10,중구,한도약국,대구광역시 중구 달구벌대로 2124 ,35.863796,128.6044029
11,중구,하은약국,대구광역시 중구 동덕로30길 29,35.8665792,128.6116577
12,중구,하동약국,대구광역시 중구 중앙대로 434-14,35.8693403,128.5937501
13,중구,하나약국,대구광역시 중구 달구벌대로 2109 ,35.8655191,128.594562
14,중구,플러스약국,대구광역시 중구 공평로 20 ,35.8661636,128.6005842
15,중구,프라자약국,대구광역시 중구 국채보상로 447 ,35.8684573,128.6056251
16,중구,푸른약국,대구광역시 중구 중앙대로 372 ,35.8693403,128.5937501
17,중구,평화약국,대구광역시 중구 중앙대로 303 ,35.8693403,128.5937501
18,중구,편한현대약국,대구광역시 중구 달구벌대로 2100,35.8650121,128.5954292
19,중구,팜약국,대구광역시 중구 달구벌대로 2094,35.863796,128.6044029
20,중구,튼튼약국,대구광역시 중구 이천로 234-1 ,35.8612793,128.5981412
21,중구,토마토약국,대구광역시 중구 대봉로 240,35.8564749,128.6025962
22,중구,큰시장약국,대구광역시 중구 큰장로 130 ,35.86666,128.5754
23,중구,치즈약국,대구광역시 중구 동덕로 99,35.860543,128.6040235
24,중구,청라약국,대구광역시 중구 달성로 71,35.8681063,128.5822329
25,중구,참평화약국,대구광역시 중구 태평로 102 ,35.8744093,128.5979207
26,중구,진약국,대구광역시 중구 달구벌대로 2181 ,35.863796,128.6044029
27,중구,즐거운약국,대구광역시 중구 달구벌대로 2191 ,35.863796,128.6044029
28,중구,좋은약국,대구광역시 중구 명덕로 203,35.8582608,128.5784982
29,중구,조은약국,대구광역시 중구 동성로4길 111 ,35.8654157,128.5994311
30,중구,제현당약국,대구광역시 중구 동덕로30길 104-2 ,35.8665792,128.6116577
31,중구,제일약국,대구광역시 중구 명륜로 140 ,35.8617681,128.5911304
32,중구,제일사랑약국,대구광역시 중구 이천로 237-1,35.8612793,128.5981412
33,중구,제이약국,대구광역시 중구 달구벌대로 2188,35.863796,128.6044029
34,중구,정문약국,대구광역시 중구 동덕로30길 31 ,35.8665792,128.6116577
35,중구,장약국,대구광역시 중구 동성로1길 81 ,35.8671441,128.5936329
36,중구,일신약국,대구광역시 중구 달성로 99 ,35.8681063,128.5822329
37,중구,유일약국,대구광역시 중구 국채보상로 529 ,35.8703485,128.592908
38,중구,위드팜새동산약국,대구광역시 중구 국채보상로 474 ,35.8684573,128.6056251
39,중구,우리약국,대구광역시 중구 동덕로 75 ,35.860543,128.6040235
40,중구,우리들약국,대구광역시 중구 달구벌대로 2126 ,35.8646566,128.59605662076982
41,중구,옵티마소망약국,대구광역시 중구 남산로13길 9 ,35.861439,128.580506
42,중구,올리브약국,대구광역시 중구 달성로 37,35.8681063,128.5822329
43,중구,영남약국,대구광역시 중구 달성로 51 ,35.8681063,128.5822329
44,중구,영광약국,대구광역시 중구 달구벌대로 2155,35.863796,128.6044029
45,중구,열린약국,대구광역시 중구 달성로 54,35.8681063,128.5822329
46,중구,엘디스약국,대구광역시 중구 달구벌대로 2033,35.863796,128.6044029
47,중구,엔젤약국,대구광역시 중구 동성로3길 99 ,35.869776599999994,128.59829495000002
48,중구,애플약국,대구광역시 중구 달구벌대로 2202,35.863796,128.6044029
49,중구,신정약국,대구광역시 중구 국채보상로 533-18 ,35.8703485,128.592908
50,중구,신세명약국,대구광역시 중구 명륜로 68,35.8617681,128.5911304
51,중구,신세계약국,대구광역시 중구 국채보상로 634,35.8703485,128.592908
52,중구,신남약국,대구광역시 중구 달성로 1 ,35.8697638,128.5824525
53,중구,시원약국,대구광역시 중구 남산로17길 109,35.8635683,128.5821901
54,중구,시대약국,대구광역시 중구 남산로6길 4 ,35.8595273,128.586273
55,중구,시내약국,대구광역시 중구 명륜로23길 111 ,35.8625515,128.5953928
56,중구,스마일약국,대구광역시 중구 남산로 48,35.8605083,128.5842266
57,중구,수현약국,대구광역시 중구 동성로 39,35.87041775,128.59533544220557
58,중구,수창약국,대구광역시 중구 북성로 21-1 ,35.8740477,128.5899668
59,중구,송약국,대구광역시 중구 명륜로23길 106,35.8625515,128.5953928
60,중구,솔약국,대구광역시 중구 동덕로 115 ,35.860543,128.6040235
61,중구,손&주약국,대구광역시 중구 달구벌대로 1993 ,35.8672794,128.5865044
62,중구,세종약국,대구광역시 중구 달구벌대로 2232-29 ,35.863796,128.6044029
63,중구,세민약국,대구광역시 중구 달구벌대로 2095,35.86630715,128.59279673908281
64,중구,세명약국,대구광역시 중구 국채보상로 468 ,35.8684573,128.6056251
65,중구,성신약국,대구광역시 중구 동덕로 68,35.860543,128.6040235
66,중구,성산약국,대구광역시 중구 명륜로 100 ,35.8617681,128.5911304
67,중구,서울약국,대구광역시 중구 중앙대로 355-1 ,35.8693403,128.5937501
68,중구,서문약국,대구광역시 중구 큰장로 132 ,35.861157,128.5744059
69,중구,서문시장약국,대구광역시 중구 달성로 53,35.8681063,128.5822329
70,중구,서문로약국,대구광역시 중구 경상감영길 43 ,35.8716711,128.5990236
71,중구,서독약국,대구광역시 중구 국채보상로 553 ,35.8703485,128.592908
72,중구,샘물약국,대구광역시 중구 공평로 16,35.8661636,128.6005842
73,중구,새싹약국,대구광역시 중구 달구벌대로 1955,35.863796,128.6044029
74,중구,새봄약국,대구광역시 중구 달구벌대로 1992,35.863796,128.6044029
75,중구,새명덕약국,대구광역시 중구 명덕로 207 ,35.8582608,128.5784982
76,중구,상호약국,대구광역시 중구 국채보상로 544 ,35.8684573,128.6056251
77,중구,상아약국,대구광역시 중구 달성로 95,35.8681063,128.5822329
78,중구,삼행약국,대구광역시 중구 태평로 287 ,35.8758012,128.5911834
79,중구,삼성약국,대구광역시 중구 국채보상로 536 ,35.8703485,128.592908
80,중구,삼덕약국,대구광역시 중구 동덕로26길 14 ,35.8655857,128.6038757
81,중구,사랑온누리약국,대구광역시 중구 국채보상로 626-1 ,35.8684573,128.6056251
